506, 543	488
4129	503
4130	510
1734	1319
2043, 2044	518
4231	533
1122, 530	529
3015	513
3407, 3406	512
3247	526
528, 266	527
1816	1228
517, 516	515
1733	858
1849	131
532	531
189	124
4131	1067
4133	1066
4132	1065
	
3294	345
226, 227	225
4255	444
243	241
201, 202	434
725	926
	
431	710
1536, 1573	640
1200	651
1537	647
3286	642
3300	652
3478	654
4202	653
4301	1270
1848	656
1824	643
	
3321	947
3303	557
823	822
3507	769
3212	495
	
662, 3439	553
404, 3522	403
3277, 3275	544
	
3311	158
3527	155
3494	112
1753	1011
	
	
959	958
3465	547
3086, 3087	
3202, 3203, 3213	1078
4305, 4307	4306, 2256, 2469, 937
3290	341
2043, 2044	518
382	381
	
1504	71
	
161	160
3489	159
157	156
