DeviceName,CableGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,Length,CableTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
AVALANCHE_HEADNODE,DMS,ABC,en_3308052,cbr_2132538,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
CYCLONE_HEADNODE,DMS,ABC,en_3308054,cbr_2144740,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
VORTEX_HEADNODE,DMS,ABC,en_3308055,cbr_2188616,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
HURRICANE_HEADNODE,DMS,ABC,en_3308056,cbr_2160803,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
TORNADO_HEADNODE,DMS,ABC,en_3308057,cbr_2188440,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
TYPHOON_HEADNODE,DMS,ABC,en_3308058,cbr_2190995,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
BLIZZARD_HEADNODE,DMS,ABC,en_3308060,cbr_2133700,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
MONSOON_HEADNODE,DMS,ABC,en_3308061,cbr_2177400,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
TSUNAMI_HEADNODE,DMS,ABC,en_3308062,cbr_2190609,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
TORRENT_HEADNODE,DMS,ABC,en_3308064,cbr_2190595,NULL,1,BUS_12KV,EMS_FEEDER_HEAD,YORBA_LINDA,NULL,All,VOLTAGELIMIT_12KV
