DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
SANTIAGO BK 7_9,EMS,ABC,en_1536706,en_1536013,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
CABRI 12KV A PAR_11,EMS,ABC,en_157115,en_157166,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
CABRI 4KV C PAR_12,EMS,ABC,en_157147,en_157167,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
CABRI 4KV B BT_13,EMS,ABC,en_157131,en_157168,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
CABRI 4KV D BT_17,EMS,ABC,en_157170,en_157171,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
GISLER BK 1_55,EMS,ABC,en_1504155,en_1504003,SRD_12.0KV_EMS,DMSLimitGrp1,GISLER,NULL,All
GISLER BK 3_56,EMS,ABC,en_1504156,en_1504013,SRD_12.0KV_EMS,DMSLimitGrp1,GISLER,NULL,All
ROLL HIIL 4 TIE_71,EMS,ABC,en_227002,en_227202,SRD_4.0KV_EMS,DMSLimitGrp1,ROLLING_HILLS,NULL,All
LIGHTH SLP TIE_78,EMS,ABC,en_243108,en_243800,SRD_12.0KV_EMS,DMSLimitGrp1,LIGHTHIPE,NULL,All
SANTIAGO BK 5_104,EMS,ABC,en_1536703,en_1536003,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO BK 8_106,EMS,ABC,en_1536709,en_1536015,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
STATE ST 12 TIE_123,EMS,ABC,en_382019,en_382500,SRD_12.0KV_EMS,DMSLimitGrp1,STATE_STREET,NULL,All
LOOP SECTION 1_125,EMS,ABC,en_382292,en_382216,SRD_12.0KV_EMS,DMSLimitGrp1,STATE_STREET,NULL,All
CROWN BK 2_133,EMS,ABC,en_1537703,en_1537013,SRD_12.0KV_EMS,DMSLimitGrp1,CROWN,NULL,All
SANTIAGO PAR C_154,EMS,ABC,en_1536147,en_1536148,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO PAR A_155,EMS,ABC,en_1536113,en_1536114,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO BT_171,EMS,ABC,en_1536131,en_1536009,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
MOULTON BK 1_264,EMS,ABC,en_4202703,en_4202005,SRD_12.0KV_EMS,DMSLimitGrp1,MOULTON,NULL,All
MOULTON BK 2_265,EMS,ABC,en_4202706,en_4202011,SRD_12.0KV_EMS,DMSLimitGrp1,MOULTON,NULL,All
LAS LOMAS BK 1_360,EMS,ABC,en_4301128,en_4301003,SRD_12.0KV_EMS,DMSLimitGrp1,LAS_LOMAS,NULL,All
INYO12 BK 3_521,EMS,ABC,en_202998,en_202999,SRD_12.0KV_EMS,DMSLimitGrp1,INYOKERN,NULL,All
INYO 33 BT_522,EMS,ABC,en_201802,en_201008,SRD_33.0KV_EMS,DMSLimitGrp1,INYOKERN,NULL,All
CAS DIAB XFMR 1_525,EMS,ABC,en_506390,en_506003,SRD_33.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
CAS DIAB XFMR 2_526,EMS,ABC,en_506790,en_506007,SRD_33.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
HASKELL CAP 1 MTR_592,EMS,ABC,en_3507602,en_3507613,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
MIRA LOM 12 TIE_609,EMS,ABC,en_431114,en_431050,SRD_12.0KV_EMS,DMSLimitGrp1,MIRA_LOMA,NULL,All
HANFORD BK 2_623,EMS,ABC,en_959703,en_959055,SRD_12.0KV_EMS,DMSLimitGrp1,HANFORD,NULL,All
HANFORD BK 3_624,EMS,ABC,en_959706,en_959063,SRD_12.0KV_EMS,DMSLimitGrp1,HANFORD,NULL,All
HOT SPR_653,EMS,ABC,en_823165,en_823140,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
MILPAS_654,EMS,ABC,en_823166,en_823141,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
STANWOO_655,EMS,ABC,en_823168,en_823142,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
TURNPIK_656,EMS,ABC,en_823167,en_823143,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
JAMESON_657,EMS,ABC,en_823164,en_823144,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
HI DESERT-PINTO_676,EMS,ABC,en_2043004,en_2043204,SRD_33.0KV_EMS,DMSLimitGrp1,HI_DESERT,NULL,All
HANFORD B.T._684,EMS,ABC,en_959129,en_959130,SRD_12.0KV_EMS,DMSLimitGrp1,HANFORD,NULL,All
CABRILLO BK 4_698,EMS,ABC,en_157215,en_157015,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
HASKELL CAP 2 MTR_712,EMS,ABC,en_3507605,en_3507614,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
HASKELL CAP 3 MTR_713,EMS,ABC,en_3507608,en_3507615,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
HASKELL CAP 4 MTR_714,EMS,ABC,en_3507611,en_3507616,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
FAIRVIEW BK 1_752,EMS,ABC,en_161703,en_161055,SRD_12.0KV_EMS,DMSLimitGrp1,FAIRVIEW,NULL,All
FAIRVIEW BK 2_753,EMS,ABC,en_161706,en_161063,SRD_12.0KV_EMS,DMSLimitGrp1,FAIRVIEW,NULL,All
CABRILLO BK 1_754,EMS,ABC,en_157922,en_157003,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
CABRILLO BK 2_755,EMS,ABC,en_157912,en_157005,SRD_12.0KV_EMS,DMSLimitGrp1,CABRILLO,NULL,All
SANTA BARBARA BK 3_757,EMS,ABC,en_823157,en_823007,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
CASA DIAB 33 BT_804,EMS,ABC,en_506401,en_506402,SRD_33.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
CASA DIAB 12 BT_805,EMS,ABC,en_543202,en_543203,SRD_12.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
HANFOR CAP 1AB METER_940,EMS,ABC,en_959600,en_959611,SRD_12.0KV_EMS,DMSLimitGrp1,HANFORD,NULL,All
