DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
ROLLING HILLS NO.1 BANK:SERIES,EMS,ABC,en_226008_S,en_226008,SRD_16.0KV_EMS,DMSLimitGrp1,ROLLING_HILLS,NULL,All
ROLLING HILLS NO.2 BANK:SERIES,EMS,ABC,en_226003_S,en_226003,SRD_16.0KV_EMS,DMSLimitGrp1,ROLLING_HILLS,NULL,All
ROLLING HILLS NO.3 BANK:SERIES,EMS,ABC,en_227005_S,en_227005,SRD_4.0KV_EMS,DMSLimitGrp1,ROLLING_HILLS,NULL,All
LIGHTHIPE NO.5 BANK:SERIES,EMS,ABC,en_243013_S,en_243013,SRD_12.0KV_EMS,DMSLimitGrp1,LIGHTHIPE,NULL,All
LIGHTHIPE NO.6 BANK:SERIES,EMS,ABC,en_243019_S,en_243019,SRD_12.0KV_EMS,DMSLimitGrp1,LIGHTHIPE,NULL,All
STATE STREET NO.2 BANK:SERIES,EMS,ABC,en_382009_S,en_382009,SRD_12.0KV_EMS,DMSLimitGrp1,STATE_STREET,NULL,All
STATE STREET NO.1 BANK:SERIES,EMS,ABC,en_382014_S,en_382014,SRD_12.0KV_EMS,DMSLimitGrp1,STATE_STREET,NULL,All
VICTOR NO.5 BANK:SERIES,EMS,ABC,en_404105_S,en_404105,SRD_33.0KV_EMS,DMSLimitGrp1,VICTOR,NULL,All
VICTOR NO.6 BANK:SERIES,EMS,ABC,en_404108_S,en_404108,SRD_33.0KV_EMS,DMSLimitGrp1,VICTOR,NULL,All
DEVERS NO.1A BANK:SERIES,EMS,ABC,en_503055_S,en_503055,SRD_HIGH_EMS,DMSLimitGrp1,DEVERS,NULL,All
DEVERS NO.3A BANK:SERIES,EMS,ABC,en_503060_S,en_503060,SRD_HIGH_EMS,DMSLimitGrp1,DEVERS,NULL,All
DEVERS NO.4A BANK:SERIES,EMS,ABC,en_503063_S,en_503063,SRD_HIGH_EMS,DMSLimitGrp1,DEVERS,NULL,All
NELSON NO.3 BANK:SERIES,EMS,ABC,en_662058_S,en_662058,SRD_33.0KV_EMS,DMSLimitGrp1,NELSON,NULL,All
NELSON NO.4 BANK:SERIES,EMS,ABC,en_662055_S,en_662055,SRD_33.0KV_EMS,DMSLimitGrp1,NELSON,NULL,All
VICTOR NO.9 BANK:SERIES,EMS,ABC,en_404128_S,en_404128,SRD_33.0KV_EMS,DMSLimitGrp1,VICTOR,NULL,All
SANTA BARBARA NO.4 BANK:SERIES,EMS,ABC,en_823012_S,en_823012,SRD_16.0KV_EMS,DMSLimitGrp1,SANTA_BARBARA,NULL,All
INYOKERN NO.1 BANK:SERIES,EMS,ABC,en_201250_S,en_201250,SRD_33.0KV_EMS,DMSLimitGrp1,INYOKERN,NULL,All
INYOKERN NO.2 BANK:SERIES,EMS,ABC,en_201350_S,en_201350,SRD_33.0KV_EMS,DMSLimitGrp1,INYOKERN,NULL,All
CASA DIABLO NO.5 BANK:SERIES,EMS,ABC,en_543802_S,en_543802,SRD_12.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
ARBORS NO.1 BANK:SERIES,EMS,ABC,en_1753201_S,en_1753201,SRD_12.0KV_EMS,DMSLimitGrp1,ARBORS,NULL,All
ARBORS NO.2 BANK:SERIES,EMS,ABC,en_1753204_S,en_1753204,SRD_12.0KV_EMS,DMSLimitGrp1,ARBORS,NULL,All
MIRA LOMA NO.9 BANK:SERIES,EMS,ABC,en_431321_S,en_431321,SRD_12.0KV_EMS,DMSLimitGrp1,MIRA_LOMA,NULL,All
MESA NO.5 BANK:SERIES,EMS,ABC,en_725116_S,en_725116,SRD_16.0KV_EMS,DMSLimitGrp1,MESA,NULL,All
MESA NO.6 BANK:SERIES,EMS,ABC,en_725117_S,en_725117,SRD_16.0KV_EMS,DMSLimitGrp1,MESA,NULL,All
HI DESERT NO.1 BANK:SERIES,EMS,ABC,en_2043003_S,en_2043003,SRD_33.0KV_EMS,DMSLimitGrp1,HI_DESERT,NULL,All
HI DESERT NO.2 BANK:SERIES,EMS,ABC,en_2043007_S,en_2043007,SRD_33.0KV_EMS,DMSLimitGrp1,HI_DESERT,NULL,All
MIRA LOMA NO.10 BANK:SERIES,EMS,ABC,en_431118_S,en_431118,SRD_12.0KV_EMS,DMSLimitGrp1,MIRA_LOMA,NULL,All
CROWN NO.3 BANK:SERIES,EMS,ABC,en_1537704_S,en_1537704,SRD_12.0KV_EMS,DMSLimitGrp1,CROWN,NULL,All
CHIP NO.1 BANK:SERIES,EMS,ABC,en_1824901_S,en_1824901,SRD_12.0KV_EMS,DMSLimitGrp1,CHIP,NULL,All
UNIVERSITY NO.1 BANK:SERIES,EMS,ABC,en_1848901_S,en_1848901,SRD_12.0KV_EMS,DMSLimitGrp1,UNIVERSITY,NULL,All
CROWN NO.1 BANK:SERIES,EMS,ABC,en_1537006_S,en_1537006,SRD_12.0KV_EMS,DMSLimitGrp1,CROWN,NULL,All
EDINGER NO.1 BANK:SERIES,EMS,ABC,en_3087053_S,en_3087053,SRD_4.0KV_EMS,DMSLimitGrp1,EDINGER,NULL,All
EDINGER NO.2 BANK:SERIES,EMS,ABC,en_3087058_S,en_3087058,SRD_4.0KV_EMS,DMSLimitGrp1,EDINGER,NULL,All
