DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
CAJALCO NO.3 CAP_3118,EMS,ABC,en_3465601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CAJALCO NO.1 CAP_3119,EMS,ABC,en_3465603_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CABRILLO CAP 1_56,EMS,ABC,en_157153_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CABRILLO CAP 3_57,EMS,ABC,en_157156_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CABRILLO CAP 4_58,EMS,ABC,en_157159_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FAIRVIEW CAP 1_59,EMS,ABC,en_161602_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
FAIRVIEW CAP 2_60,EMS,ABC,en_161605_SH,1,N,NULL,NULL,NULL,5400,12.0KV_5400,Fall-InSvcSchedule,,NULL,All
CAMDEN NO.1 CAP_423,EMS,ABC,en_158111_SH,1,N,NULL,NULL,NULL,28800,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
CHESTNUT CAP 3_439,EMS,ABC,en_159033_SH,1,N,NULL,NULL,NULL,28800,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
CABRILLO CAP 2_881,EMS,ABC,en_157160_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CAMDEN NO. 2 CAP_2610,EMS,ABC,en_3311600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CHESTNUT CAP 1_2625,EMS,ABC,en_3489600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CHESTNUT CAP 2_2626,EMS,ABC,en_3489601_SH,1,N,NULL,NULL,NULL,6040,12.0KV_6040,Fall-InSvcSchedule,,NULL,All
CHESTNUT CAP 4_3170,EMS,ABC,en_3489603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
JOHANNA CAP 4_3264,EMS,ABC,en_3527601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
JOHANNA CAP 1_3265,EMS,ABC,en_3527603_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 31_180,EMS,ABC,en_423601_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 32_181,EMS,ABC,en_423602_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 34_182,EMS,ABC,en_423603_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 35_183,EMS,ABC,en_423604_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 41_184,EMS,ABC,en_423605_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 42_185,EMS,ABC,en_423606_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 44_186,EMS,ABC,en_423607_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 45_187,EMS,ABC,en_423608_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
EAGLE ROCK CAP 1_348,EMS,ABC,en_843116_SH,1,N,NULL,NULL,NULL,29700,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
EAGLE ROCK CAP 2_349,EMS,ABC,en_843161_SH,1,N,NULL,NULL,NULL,29700,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
BROOKHURST CAP 2A_429,EMS,ABC,en_70114_SH,1,N,NULL,NULL,NULL,14400,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
BROOKHURST CAP 2B_430,EMS,ABC,en_70116_SH,1,N,NULL,NULL,NULL,14400,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
EL CASCO CAP 1_432,EMS,ABC,en_571052_SH,1,N,NULL,NULL,NULL,46800,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
SEPULVEDA CAP 1_448,EMS,ABC,en_1182611_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
SEPULVEDA CAP 2_449,EMS,ABC,en_1182621_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
RED BLUFF RCT 21_536,EMS,ABC,en_1309121_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
RED BLUFF RCT 22_537,EMS,ABC,en_1309122_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
RED BLUFF RCT 23_538,EMS,ABC,en_1309123_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
COL RIVER RCT 21_539,EMS,ABC,en_1313121_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
COL RIVER RCT 22_540,EMS,ABC,en_1313122_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
COL RIVRR RCT 23_547,EMS,ABC,en_1313123_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELLIS CAP 4_640,EMS,ABC,en_67198_SH,1,N,NULL,NULL,NULL,28800,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 51_662,EMS,ABC,en_423051_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 52_663,EMS,ABC,en_423052_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 53_664,EMS,ABC,en_423053_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 54_665,EMS,ABC,en_423054_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELDORADO RCT 55_666,EMS,ABC,en_423055_SH,1,N,NULL,NULL,NULL,45000,12.0KV_45000,Fall-InSvcSchedule,,NULL,All
ELLIS CAP 2A_686,EMS,ABC,en_67194_SH,1,N,NULL,NULL,NULL,28800,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
UNIVERSAL CAP 1_730,EMS,ABC,en_848303_SH,1,N,NULL,NULL,NULL,14400,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
BEVELRY HILLS CAP 2_737,EMS,ABC,en_323161_SH,1,N,NULL,NULL,NULL,14400,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
SULLIVAN CAP 3_743,EMS,ABC,en_3482603_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
BANNING CAP 1_883,EMS,ABC,en_3011116_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
BANNING CAP 2_889,EMS,ABC,en_3011117_SH,1,N,NULL,NULL,NULL,4500,33.0KV_4500,Fall-InSvcSchedule,,NULL,All
BAYSIDE CAP 1_1001,EMS,ABC,en_1501125_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
BAYSIDE CAP 2_1002,EMS,ABC,en_1501127_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
PAULARINO CAP 1_1003,EMS,ABC,en_1503613_SH,1,N,NULL,NULL,NULL,750,4.0KV_750,Fall-InSvcSchedule,,NULL,All
PAULARINO CAP 2_1004,EMS,ABC,en_1503623_SH,1,N,NULL,NULL,NULL,750,4.0KV_750,Fall-InSvcSchedule,,NULL,All
GISLER CAP 1_1005,EMS,ABC,en_1504136_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
GISLER CAP 2_1006,EMS,ABC,en_1504138_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
FELTON NO. 1 CAP_1010,EMS,ABC,en_1508117_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
INGLEWOOD NO. 1 CAP_1011,EMS,ABC,en_1510119_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
INGLEWOOD CAP 2_1012,EMS,ABC,en_1511125_SH,1,N,NULL,NULL,NULL,2400,4.0KV_2400,Fall-InSvcSchedule,,NULL,All
INGLEWOOD CAP 3_1013,EMS,ABC,en_1511127_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
MORNINGSIDE CAP 1_1014,EMS,ABC,en_1513109_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
ELLIS CAP 1_1602,EMS,ABC,en_4101121_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MENTONE CAP 1_1664,EMS,ABC,en_4144612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ALHAMBRA NO. 1 CAP_2001,EMS,ABC,en_3000601_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ALHAMBRA NO. 2 CAP_2002,EMS,ABC,en_3000603_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
BANNING CAP 1_PSS_2019,EMS,ABC,en_3011116_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
BANNING CAP 2_PSS_2020,EMS,ABC,en_3011117_SH,1,N,NULL,NULL,NULL,4500,33.0KV_4500,Fall-InSvcSchedule,,NULL,All
HAMILTON CAP 2_2034,EMS,ABC,en_73124_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
COSTA MESA CAP 1_2102,EMS,ABC,en_3071603_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
COSTA MESA CAP 2_2103,EMS,ABC,en_3071607_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
MADRID CAP 1_2104,EMS,ABC,en_3079612_SH,1,N,NULL,NULL,NULL,1500,4.0KV_1500,Fall-InSvcSchedule,,NULL,All
EL CASCO CAP 2_2105,EMS,ABC,en_3082612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
EL CASCO CAP 3_2106,EMS,ABC,en_3082607_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
FAIRFAX NO. 1 CAP_2121,EMS,ABC,en_3138603_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
FAIRFAX NO. 2 CAP_2122,EMS,ABC,en_3138606_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
FAIRFAX CAP 3_2123,EMS,ABC,en_3139601_SH,1,N,NULL,NULL,NULL,1200,4.0KV_1200,Fall-InSvcSchedule,,NULL,All
VERA CAP 2_2155,EMS,ABC,en_3307601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
LENNOX NO. 2 CAP_2167,EMS,ABC,en_181052_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
TALBERT CAP 1_2596,EMS,ABC,en_3305600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
VERA CAP 1_2599,EMS,ABC,en_3307600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
OCEANVIEW CAP 1_2615,EMS,ABC,en_3314600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
OCEANVIEW CAP 2_2616,EMS,ABC,en_3314601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BROOKHURST CAP 1_2624,EMS,ABC,en_3488600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
LAFAYETTE CAP 1_2629,EMS,ABC,en_3491611_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
LAFAYETTE CAP 2_2630,EMS,ABC,en_3491621_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MARASCHINO CAP 2_3024,EMS,ABC,en_3412601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MARASCHINO CAP 3_3050,EMS,ABC,en_3412603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MARASCHINO CAP 1_3051,EMS,ABC,en_3412605_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SLATER CAP 2_3145,EMS,ABC,en_3481601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SLATER CAP 4_3146,EMS,ABC,en_3481603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SULLIVAN CAP 1_3147,EMS,ABC,en_3482600_SH,1,N,NULL,NULL,NULL,2985,12.0KV_2985,Fall-InSvcSchedule,,NULL,All
SULLIVAN CAP 2_3148,EMS,ABC,en_3482601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ALHAMBRA NO. 3 CAP_3154,EMS,ABC,en_3000605_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ALHAMBRA NO. 4 CAP_3155,EMS,ABC,en_3000607_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
WAVE CAP 1_3162,EMS,ABC,en_3495601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MENTONE CAP 2_3172,EMS,ABC,en_674111_SH,1,N,NULL,NULL,NULL,14400,HIGH_EMS,Fall-InSvcSchedule,,NULL,All
OCEAN PARK CAP 1_3276,EMS,ABC,en_3551612_SH,1,N,NULL,NULL,NULL,1200,4.0KV_1200,Fall-InSvcSchedule,,NULL,All
OCEAN PARK CAP 2_3277,EMS,ABC,en_3551622_SH,1,N,NULL,NULL,NULL,1200,4.0KV_1200,Fall-InSvcSchedule,,NULL,All
ETIWANDA CAP 7_1042,EMS,ABC,en_1535672_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ETIWANDA CAP 8_1043,EMS,ABC,en_1535682_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
DAISY CAP 1_1512,EMS,ABC,en_4015611_SH,1,N,NULL,NULL,NULL,2100,4.0KV_2100,Fall-InSvcSchedule,,NULL,All
CAPITAN NO. 2 CAP_1624,EMS,ABC,en_4113621_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
ISLA VISTA CAP 1_1627,EMS,ABC,en_4115611_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
GAVIOTA NO. 1 CAP_1629,EMS,ABC,en_4117612_SH,1,N,NULL,NULL,NULL,2250,16.0KV_2250,Fall-InSvcSchedule,,NULL,All
ARROYO NO. 1 CAP_1650,EMS,ABC,en_3008612_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ARROYO NO. 2 CAP_1651,EMS,ABC,en_3008622_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
ARROYO NO. 3 CAP_1652,EMS,ABC,en_3008632_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
EDWARDS CAP 1_1669,EMS,ABC,en_4149611_SH,1,N,NULL,NULL,NULL,4350,33.0KV_4350,Fall-InSvcSchedule,,NULL,All
EDWARDS CAP 2_1670,EMS,ABC,en_4149621_SH,1,N,NULL,NULL,NULL,4200,33.0KV_4200,Fall-InSvcSchedule,,NULL,All
