DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
NO.1 CAPACITOR CB_25564,EMS,ABC,en_3465612,en_3465603,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPACITOR CB_29706,EMS,ABC,en_3465612,en_3465603,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPACITOR CB_35501,EMS,ABC,en_3465610,en_3465601,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPACITOR CB_37137,EMS,ABC,en_3465610,en_3465601,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1121_72664,EMS,ABC,en_3465997,en_3465125,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1011_72890,EMS,ABC,en_3465999,en_3465100,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1012_72891,EMS,ABC,en_3465100,en_3465500,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
TRAUTWEIN 12KV CB_72892,EMS,ABC,en_3465100,en_3465101,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3013_72893,EMS,ABC,en_3465101,en_3465051,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3014_72894,EMS,ABC,en_3465051,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1021_72895,EMS,ABC,en_3465999,en_3465102,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1022_72896,EMS,ABC,en_3465102,en_3465500,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
