DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
CABRILLO NO.1N BANK_79,EMS,ABC,en_156900,en_157900,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
CABRILLO NO.2N BANK_80,EMS,ABC,en_156901,en_157901,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
CABRILLO NO.4S BANK_81,EMS,ABC,en_156902,en_157902,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CABRILLO,NULL,All,NULL
FAIRVIEW NO.1S BANK_82,EMS,ABC,en_160702,en_161702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,FAIRVIEW,NULL,All,NULL
FAIRVIEW NO.2N BANK_83,EMS,ABC,en_160704,en_161704,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,FAIRVIEW,NULL,All,NULL
ROLLING HILLS NO.1 BANK_125,EMS,ABC,en_225002,en_226008_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,ROLLING_HILLS,NULL,All,NULL
ROLLING HILLS NO.2 BANK_126,EMS,ABC,en_225004,en_226003_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,ROLLING_HILLS,NULL,All,NULL
ROLLING HILLS NO.3 BANK_127,EMS,ABC,en_225005,en_227005_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,ROLLING_HILLS,NULL,All,NULL
LIGHTHIPE NO.5 BANK_144,EMS,ABC,en_241032,en_243013_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,LIGHTHIPE,NULL,All,NULL
LIGHTHIPE NO.6 BANK_145,EMS,ABC,en_241033,en_243019_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,LIGHTHIPE,NULL,All,NULL
STATE STREET NO.2 BANK_235,EMS,ABC,en_381003,en_382009_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,STATE_STREET,NULL,All,NULL
