DeviceName,BusGroupName,PhaseCode,ConnectedNode1,LGFaultEnabled,ThreePhFaultEnabled,FLAEnabled,OperatingVoltage,SubstationName,FeederName,AORRefName
BULLIS 16_252500_2,EMS,ABC,en_252500,N,N,N,12.0kV_EMS,BULLIS,NULL,Z_EMS
BULLIS 16_252999_3,EMS,ABC,en_252999,N,N,N,12.0kV_EMS,BULLIS,NULL,Z_EMS
BULLIS 4_253004_4,EMS,ABC,en_253004,N,N,N,4.0kV_EMS,BULLIS,NULL,Z_EMS
CARSON 16_257997_5,EMS,ABC,en_257997,N,N,N,12.0kV_EMS,CARSON,NULL,Z_EMS
CARSON 16_257498_6,EMS,ABC,en_257498,N,N,N,12.0kV_EMS,CARSON,NULL,Z_EMS
FERNWOOD 16_262009_7,EMS,ABC,en_262009,N,N,N,12.0kV_EMS,FERNWOOD,NULL,Z_EMS
FERNWOOD 16_262004_8,EMS,ABC,en_262004,N,N,N,12.0kV_EMS,FERNWOOD,NULL,Z_EMS
LYNWOOD 4_264011_9,EMS,ABC,en_264011,N,N,N,4.0kV_EMS,LYNWOOD,NULL,Z_EMS
LYNWOOD 4_264029_10,EMS,ABC,en_264029,N,N,N,4.0kV_EMS,LYNWOOD,NULL,Z_EMS
LYNWOOD 4_264999_11,EMS,ABC,en_264999,N,N,N,4.0kV_EMS,LYNWOOD,NULL,Z_EMS
LYNWOOD 4_264997_12,EMS,ABC,en_264997,N,N,N,4.0kV_EMS,LYNWOOD,NULL,Z_EMS
SIGNAL H 12_281007_13,EMS,ABC,en_281007,N,N,N,12.0kV_EMS,SIGNAL_HILL,NULL,Z_EMS
SUNNYSID 12_284006_14,EMS,ABC,en_284006,N,N,N,12.0kV_EMS,SUNNYSIDE,NULL,Z_EMS
SUNNYSID 12_284147_15,EMS,ABC,en_284147,N,N,N,12.0kV_EMS,SUNNYSIDE,NULL,Z_EMS
SUNNYSID 4_285002_16,EMS,ABC,en_285002,N,N,N,4.0kV_EMS,SUNNYSIDE,NULL,Z_EMS
SUNNYSID 4_285010_17,EMS,ABC,en_285010,N,N,N,4.0kV_EMS,SUNNYSIDE,NULL,Z_EMS
BAIN 12_390050_18,EMS,ABC,en_390050,N,N,N,12.0kV_EMS,BAIN,NULL,Z_EMS
BAIN 12_390999_19,EMS,ABC,en_390999,N,N,N,12.0kV_EMS,BAIN,NULL,Z_EMS
BAIN 12_390116_20,EMS,ABC,en_390116,N,N,N,12.0kV_EMS,BAIN,NULL,Z_EMS
BAIN 12_390117_21,EMS,ABC,en_390117,N,N,N,12.0kV_EMS,BAIN,NULL,Z_EMS
PHELAN 33_414059_22,EMS,ABC,en_414059,N,N,N,12.0kV_EMS,PHELAN,NULL,Z_EMS
PHELAN 12_415058_23,EMS,ABC,en_415058,N,N,N,12.0kV_EMS,PHELAN,NULL,Z_EMS
GARNET 33_516999_24,EMS,ABC,en_516999,N,N,N,12.0kV_EMS,GARNET,NULL,Z_EMS
GARNET 12_517999_25,EMS,ABC,en_517999,N,N,N,12.0kV_EMS,GARNET,NULL,Z_EMS
PEDLEY 12_601999_26,EMS,ABC,en_601999,N,N,N,12.0kV_EMS,PEDLEY,NULL,Z_EMS
SAN ONOFRE 12_613999_27,EMS,ABC,en_613999,N,N,N,12.0kV_EMS,SAN_ONOFRE,NULL,Z_EMS
SAN ONOFRE 12_613998_28,EMS,ABC,en_613998,N,N,N,12.0kV_EMS,SAN_ONOFRE,NULL,Z_EMS
TAPIA 16_790999_29,EMS,ABC,en_790999,N,N,N,12.0kV_EMS,TAPIA,NULL,Z_EMS
TAPIA 16_790050_30,EMS,ABC,en_790050,N,N,N,12.0kV_EMS,TAPIA,NULL,Z_EMS
LATIGO 16_800114_31,EMS,ABC,en_800114,N,N,N,12.0kV_EMS,LATIGO,NULL,Z_EMS
ATHENS 4_1185054_32,EMS,ABC,en_1185054,N,N,N,4.0kV_EMS,ATHENS,NULL,Z_EMS
CORONA 33_1529002_33,EMS,ABC,en_1529002,N,N,N,12.0kV_EMS,CORONA,NULL,Z_EMS
CORONA 33_1529003_34,EMS,ABC,en_1529003,N,N,N,12.0kV_EMS,CORONA,NULL,Z_EMS
CORONA 12_1530143_35,EMS,ABC,en_1530143,N,N,N,12.0kV_EMS,CORONA,NULL,Z_EMS
CORONA 12_1530900_36,EMS,ABC,en_1530900,N,N,N,12.0kV_EMS,CORONA,NULL,Z_EMS
CORONA 12_1530901_37,EMS,ABC,en_1530901,N,N,N,12.0kV_EMS,CORONA,NULL,Z_EMS
CORONA 4_1531115_38,EMS,ABC,en_1531115,N,N,N,4.0kV_EMS,CORONA,NULL,Z_EMS
SANTIAGO 12_1536003_39,EMS,ABC,en_1536003,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536013_40,EMS,ABC,en_1536013,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536015_41,EMS,ABC,en_1536015,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536999_42,EMS,ABC,en_1536999,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536997_43,EMS,ABC,en_1536997,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536999_44,EMS,ABC,en_1536999,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536998_45,EMS,ABC,en_1536998,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 12_1536999_46,EMS,ABC,en_1536999,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
AROWHEAD 33_1540999_47,EMS,ABC,en_1540999,N,N,N,12.0kV_EMS,ARROWHEAD,NULL,Z_EMS
AROWHEAD 33_1540008_48,EMS,ABC,en_1540008,N,N,N,12.0kV_EMS,ARROWHEAD,NULL,Z_EMS
AROWHEAD 33_1540004_49,EMS,ABC,en_1540004,N,N,N,12.0kV_EMS,ARROWHEAD,NULL,Z_EMS
AROWHEAD 12_1541999_50,EMS,ABC,en_1541999,N,N,N,12.0kV_EMS,ARROWHEAD,NULL,Z_EMS
AROWHEAD 12_1541005_51,EMS,ABC,en_1541005,N,N,N,12.0kV_EMS,ARROWHEAD,NULL,Z_EMS
CALECTRI 33_1542999_52,EMS,ABC,en_1542999,N,N,N,12.0kV_EMS,CALECTRIC,NULL,Z_EMS
CALECTRI 33_1542997_53,EMS,ABC,en_1542997,N,N,N,12.0kV_EMS,CALECTRIC,NULL,Z_EMS
SANTIAGO 33_1573011_54,EMS,ABC,en_1573011,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
SANTIAGO 33_1573031_55,EMS,ABC,en_1573031,N,N,N,12.0kV_EMS,SANTIAGO,NULL,Z_EMS
VALDEZ 16_2038405_56,EMS,ABC,en_2038405,N,N,N,12.0kV_EMS,VALDEZ,NULL,Z_EMS
VALDEZ 16_2038124_57,EMS,ABC,en_2038124,N,N,N,12.0kV_EMS,VALDEZ,NULL,Z_EMS
ARCHIBALD 12_3010054_58,EMS,ABC,en_3010054,N,N,N,12.0kV_EMS,ARCHIBALD,NULL,Z_EMS
ARCHIBALD 12_3010061_59,EMS,ABC,en_3010061,N,N,N,12.0kV_EMS,ARCHIBALD,NULL,Z_EMS
ARCHIBALD 12_3010500_60,EMS,ABC,en_3010500,N,N,N,12.0kV_EMS,ARCHIBALD,NULL,Z_EMS
ARCHIBALD 12_3010999_61,EMS,ABC,en_3010999,N,N,N,12.0kV_EMS,ARCHIBALD,NULL,Z_EMS
BLOOMING 12_3013055_62,EMS,ABC,en_3013055,N,N,N,12.0kV_EMS,BLOOMINGTON,NULL,Z_EMS
BLOOMING 12_3013065_63,EMS,ABC,en_3013065,N,N,N,12.0kV_EMS,BLOOMINGTON,NULL,Z_EMS
FARRELL 12_3015064_64,EMS,ABC,en_3015064,N,N,N,12.0kV_EMS,FARRELL,NULL,Z_EMS
FARRELL 12_3015055_65,EMS,ABC,en_3015055,N,N,N,12.0kV_EMS,FARRELL,NULL,Z_EMS
FARRELL 12_3015500_66,EMS,ABC,en_3015500,N,N,N,12.0kV_EMS,FARRELL,NULL,Z_EMS
FARRELL 12_3015999_67,EMS,ABC,en_3015999,N,N,N,12.0kV_EMS,FARRELL,NULL,Z_EMS
BURNTMILL 12_3018006_68,EMS,ABC,en_3018006,N,N,N,12.0kV_EMS,BURNT_MILL,NULL,Z_EMS
BURNTMILL 12_3018007_69,EMS,ABC,en_3018007,N,N,N,12.0kV_EMS,BURNT_MILL,NULL,Z_EMS
BURNTMILL 12_3018999_70,EMS,ABC,en_3018999,N,N,N,12.0kV_EMS,BURNT_MILL,NULL,Z_EMS
HUSTON 12_3020006_71,EMS,ABC,en_3020006,N,N,N,12.0kV_EMS,HUSTON,NULL,Z_EMS
RUNNING 12_3023999_72,EMS,ABC,en_3023999,N,N,N,12.0kV_EMS,RUNNING_SPRINGS,NULL,Z_EMS
NEWBURY 16_3037056_73,EMS,ABC,en_3037056,N,N,N,12.0kV_EMS,NEWBURY,NULL,Z_EMS
NEWBURY 16_3037062_74,EMS,ABC,en_3037062,N,N,N,12.0kV_EMS,NEWBURY,NULL,Z_EMS
ROYAL 16_3039006_75,EMS,ABC,en_3039006,N,N,N,12.0kV_EMS,ROYAL,NULL,Z_EMS
ROYAL 16_3039012_76,EMS,ABC,en_3039012,N,N,N,12.0kV_EMS,ROYAL,NULL,Z_EMS
ROYAL 16_3039999_77,EMS,ABC,en_3039999,N,N,N,12.0kV_EMS,ROYAL,NULL,Z_EMS
ROYAL 16_3039997_78,EMS,ABC,en_3039997,N,N,N,12.0kV_EMS,ROYAL,NULL,Z_EMS
SAVAGE 12_3040054_79,EMS,ABC,en_3040054,N,N,N,12.0kV_EMS,SAVAGE,NULL,Z_EMS
SAVAGE 12_3040058_80,EMS,ABC,en_3040058,N,N,N,12.0kV_EMS,SAVAGE,NULL,Z_EMS
THOS OAKS 16_3041005_81,EMS,ABC,en_3041005,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
THOS OAKS 16_3041011_82,EMS,ABC,en_3041011,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
THOS OAKS 16_3041999_83,EMS,ABC,en_3041999,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
THOS OAKS 16_3041997_84,EMS,ABC,en_3041997,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
THOS OAKS 16_3041997_85,EMS,ABC,en_3041997,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
THOS OAKS 16_3041999_86,EMS,ABC,en_3041999,N,N,N,12.0kV_EMS,THOUSAND_OAKS,NULL,Z_EMS
PALM CYN 12_3145999_87,EMS,ABC,en_3145999,N,N,N,12.0kV_EMS,PALM_CANYON,NULL,Z_EMS
PALM CYN 4_3146999_88,EMS,ABC,en_3146999,N,N,N,4.0kV_EMS,PALM_CANYON,NULL,Z_EMS
BRYMAN 4_3151999_89,EMS,ABC,en_3151999,N,N,N,4.0kV_EMS,BRYMAN,NULL,Z_EMS
OLDFIELD 4_3200009_90,EMS,ABC,en_3200009,N,N,N,4.0kV_EMS,OLDFIELD,NULL,Z_EMS
OLDFIELD 4_3200005_91,EMS,ABC,en_3200005,N,N,N,4.0kV_EMS,OLDFIELD,NULL,Z_EMS
OLDFIELD 4_3200997_92,EMS,ABC,en_3200997,N,N,N,4.0kV_EMS,OLDFIELD,NULL,Z_EMS
THORNHILL 12_3247053_93,EMS,ABC,en_3247053,N,N,N,12.0kV_EMS,THORNHILL,NULL,Z_EMS
THORNHILL 12_3247999_94,EMS,ABC,en_3247999,N,N,N,12.0kV_EMS,THORNHILL,NULL,Z_EMS
JERSEY 16_3267007_95,EMS,ABC,en_3267007,N,N,N,12.0kV_EMS,JERSEY,NULL,Z_EMS
JERSEY 16_3267012_96,EMS,ABC,en_3267012,N,N,N,12.0kV_EMS,JERSEY,NULL,Z_EMS
NOLA 16_3269056_97,EMS,ABC,en_3269056,N,N,N,12.0kV_EMS,NOLA,NULL,Z_EMS
NOLA 16_3269997_98,EMS,ABC,en_3269997,N,N,N,12.0kV_EMS,NOLA,NULL,Z_EMS
BORREGO 12_3286053_99,EMS,ABC,en_3286053,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286062_100,EMS,ABC,en_3286062,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286500_101,EMS,ABC,en_3286500,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286997_102,EMS,ABC,en_3286997,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286500_103,EMS,ABC,en_3286500,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
IRVINE 12_3297005_104,EMS,ABC,en_3297005,N,N,N,12.0kV_EMS,IRVINE,NULL,Z_EMS
IRVINE 12_3297011_105,EMS,ABC,en_3297011,N,N,N,12.0kV_EMS,IRVINE,NULL,Z_EMS
MORRO 12_3300012_106,EMS,ABC,en_3300012,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300006_107,EMS,ABC,en_3300006,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300997_108,EMS,ABC,en_3300997,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300999_109,EMS,ABC,en_3300999,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MAXWELL 12_3313005_110,EMS,ABC,en_3313005,N,N,N,12.0kV_EMS,MAXWELL,NULL,Z_EMS
MAXWELL 12_3313007_111,EMS,ABC,en_3313007,N,N,N,12.0kV_EMS,MAXWELL,NULL,Z_EMS
ESTRELLA 12_3318005_112,EMS,ABC,en_3318005,N,N,N,12.0kV_EMS,ESTRELLA,NULL,Z_EMS
ESTRELLA 12_3318015_113,EMS,ABC,en_3318015,N,N,N,12.0kV_EMS,ESTRELLA,NULL,Z_EMS
