DeviceName,CableGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,Length,CableTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
SCILACCI_HEADNODE,,,en_4301139,cbr_14689581,,,BUS_12KV,,LAS_LOMAS,,,VOLTAGELIMIT_12KV
WINONA_HEADNODE,,,en_252010,cbr_2190382,,,BUS_16KV,,BULLIS,,,VOLTAGELIMIT_16KV
GIBSON_HEADNODE,,,en_252011,cbr_2156931,,,BUS_16KV,,BULLIS,,,VOLTAGELIMIT_16KV
ATLANTIC_HEADNODE,,,en_252013,cbr_2132535,,,BUS_16KV,,BULLIS,,,VOLTAGELIMIT_16KV
COLYER_HEADNODE,,,en_252014,cbr_2142712,,,BUS_16KV,,BULLIS,,,VOLTAGELIMIT_16KV
WILDCAT_HEADNODE,,,en_252015,cbr_2190701,,,BUS_16KV,,BULLIS,,,VOLTAGELIMIT_16KV
GUNLOCK_HEADNODE,,,en_253005,cbr_2158783,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
AGNES_HEADNODE,,,en_253006,cbr_2141010,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
PATTIE_HEADNODE,,,en_253009,cbr_2179307,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
RAYBORN_HEADNODE,,,en_253010,cbr_2182936,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
TUCKER_HEADNODE,,,en_253011,cbr_2188111,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
ADA_HEADNODE,,,en_253012,cbr_2134375,,,BUS_4KV,,BULLIS,,,VOLTAGELIMIT_4KV
SLOAN_HEADNODE,,,en_255003,cbr_2184233,,,BUS_4KV,,COMPTON,,,VOLTAGELIMIT_4KV
CRANE_HEADNODE,,,en_255007,cbr_2143924,,,BUS_4KV,,COMPTON,,,VOLTAGELIMIT_4KV
STOCKWELL_HEADNODE,,,en_255008,cbr_2184799,,,BUS_4KV,,COMPTON,,,VOLTAGELIMIT_4KV
DONNA_HEADNODE,,,en_257005,cbr_2154620,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
JENKINS_HEADNODE,,,en_257006,cbr_2161858,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
DALBERG_HEADNODE,,,en_257008,cbr_2149942,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
TORSON_HEADNODE,,,en_257009,cbr_2190588,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
SPARTON_HEADNODE,,,en_257011,cbr_2190833,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
SIGMA_HEADNODE,,,en_257062,cbr_2183883,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
RAHN_HEADNODE,,,en_257061,cbr_2180192,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
EPSILON_HEADNODE,,,en_257060,cbr_2148496,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
ZENO_HEADNODE,,,en_257059,cbr_2190391,,,BUS_16KV,,CARSON,,,VOLTAGELIMIT_16KV
GRAPE_HEADNODE,,,en_262001,cbr_2152933,,,BUS_16KV,,FERNWOOD,,,VOLTAGELIMIT_16KV
BARLOW_HEADNODE,,,en_262003,cbr_2136701,,,BUS_16KV,,FERNWOOD,,,VOLTAGELIMIT_16KV
PEACH_HEADNODE,,,en_262008,cbr_2184554,,,BUS_16KV,,FERNWOOD,,,VOLTAGELIMIT_16KV
PALOMAR_HEADNODE,,,en_264014,cbr_2178916,,,BUS_4KV,,LYNWOOD,,,VOLTAGELIMIT_4KV
FIR_HEADNODE,,,en_264015,cbr_2182850,,,BUS_4KV,,LYNWOOD,,,VOLTAGELIMIT_4KV
TWEEDY_HEADNODE,,,en_264027,cbr_2188191,,,BUS_4KV,,LYNWOOD,,,VOLTAGELIMIT_4KV
LYNDORA_HEADNODE,,,en_264028,cbr_2171681,,,BUS_4KV,,LYNWOOD,,,VOLTAGELIMIT_4KV
CORNISH_HEADNODE,,,en_264030,cbr_2143085,,,BUS_4KV,,LYNWOOD,,,VOLTAGELIMIT_4KV
MONTANA_HEADNODE,,,en_281003,cbr_2180684,,,BUS_12KV,,SIGNAL_HILL,,,VOLTAGELIMIT_12KV
SPRING_HEADNODE,,,en_281006,cbr_2190841,,,BUS_12KV,,SIGNAL_HILL,,,VOLTAGELIMIT_12KV
WALRUS_HEADNODE,,,en_281008,cbr_2190675,,,BUS_12KV,,SIGNAL_HILL,,,VOLTAGELIMIT_12KV
CITIZENS_HEADNODE,,,en_281009,cbr_2157484,,,BUS_12KV,,SIGNAL_HILL,,,VOLTAGELIMIT_12KV
GUNDRY_HEADNODE,,,en_282005,cbr_2164827,,,BUS_4KV,,SIGNAL_HILL,,,VOLTAGELIMIT_4KV
MICHIGAN_HEADNODE,,,en_282006,cbr_2180614,,,BUS_4KV,,SIGNAL_HILL,,,VOLTAGELIMIT_4KV
DERRICK_HEADNODE,,,en_282008,cbr_2150278,,,BUS_4KV,,SIGNAL_HILL,,,VOLTAGELIMIT_4KV
NO AMERICAN_HEADNODE,,,en_284200,cbr_2178590,,,BUS_12KV,,SUNNYSIDE,,,VOLTAGELIMIT_12KV
