LimitGroupName,LimitGroupDesc,UnitName,LowReasonabilityLimit,HighReasonabilityLimit,AlarmDBand,AlarmDelay,HiReasonabilityDelayAlarm,LoReasonabilityDelayAlarm,HSEL_DelayAlarm,HLEL_DelayAlarm,HOL_DelayAlarm,LOL_DelayAlarm,LLEL_DelayAlarm,LSEL_DelayAlarm,SelectPointFlag,ZeroIsNormal,Percent_Significance,DAL_Control_PointNumber,Limit_Name,Limit_Number,Limit_Processing,Program_Name,High_Limit_4,High_Limit_3,High_Limit_2,High_Limit_1,Low_Limit_1,Low_Limit_2,Low_Limit_3,Low_Limit_4,Percent_Of_Ana_Pnt_Lims,Limits_Analog_Point
SAN ONOFRE NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,14,14,14,-14,-14,-14,NULL,NULL,NULL
BULLIS NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,35.4,28,-28,-35.4,-40.6,NULL,NULL,NULL
BULLIS NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,15.23,11.54,10.5,-10.5,-11.54,-15.23,NULL,NULL,NULL
BULLIS NO.4 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,15.23,11.54,10.5,-10.5,-11.54,-15.23,NULL,NULL,NULL
BULLIS NO.2E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.33,24.26,22.4,-22.4,-24.26,-32.33,NULL,NULL,NULL
BULLIS NO.2W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,33.82,28,-28,-33.82,-40.6,NULL,NULL,NULL
COMPTON NO.1 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,6.2,6.2,6.2,-6.2,-6.2,-6.2,NULL,NULL,NULL
COMPTON NO.2 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,6.2,6.2,6.2,-6.2,-6.2,-6.2,NULL,NULL,NULL
CARSON NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.46,29.11,22.4,-22.4,-29.11,-32.46,NULL,NULL,NULL
CARSON NO.4N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,31.34,27.31,22.4,-22.4,-27.31,-31.34,NULL,NULL,NULL
FERNWOOD NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,27.94,25.49,20,-20,-25.49,-27.94,NULL,NULL,NULL
FERNWOOD NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,27.94,25.49,28,-28,-25.49,-27.94,NULL,NULL,NULL
LYNWOOD NO.1 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.7,7.8,6,-6,-7.8,-8.7,NULL,NULL,NULL
LYNWOOD NO.2 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.7,7.8,6,-6,-7.8,-8.7,NULL,NULL,NULL
SIGNAL HILL N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.19,14,-14,-18.19,-20.3,NULL,NULL,NULL
SIGNAL HILL N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,7.5,7.5,7.5,-7.5,-7.5,-7.5,NULL,NULL,NULL
SUNNYSIDE NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,29,25.99,20,-20,-25.99,-29,NULL,NULL,NULL
SUNNYSIDE NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,13.05,11.7,9,-9,-11.7,-13.05,NULL,NULL,NULL
SUNNYSIDE NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.7,7.8,6,-6,-7.8,-8.7,NULL,NULL,NULL
SUNNYSIDE NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,57.24,51.31,51.31,-51.31,-51.31,-57.24,NULL,NULL,NULL
ATHENS NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.1,6,6.15,-6.15,-6,-8.1,NULL,NULL,NULL
PHELAN NO.2W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,34.43,34.43,-34.43,-34.43,-40.6,NULL,NULL,NULL
PHELAN NO.4 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,36.41,33.58,33.58,-33.58,-33.58,-36.41,NULL,NULL,NULL
ROADWAY NO.2N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,14,-14,-36.4,-40.6,NULL,NULL,NULL
GARNET NO.2 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,65.49,59.98,59.98,-59.98,-59.98,-65.49,NULL,NULL,NULL
GARNET NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,65.49,59.98,59.98,-59.98,-59.98,-65.49,NULL,NULL,NULL
GARNET NO.4 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,14.06,12.82,12.82,-12.82,-12.82,-14.06,NULL,NULL,NULL
PEDLEY NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.39,28,-28,-36.39,-40.6,NULL,NULL,NULL
PEDLEY NO.2 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.39,28,-28,-36.39,-40.6,NULL,NULL,NULL
IRVINE NO.1S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
ZUMA     MARA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,1.5,1.26,1.26,-1.26,-1.26,-1.5,NULL,NULL,NULL
ZUMA     ENCN:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,1.5,1.26,1.26,-1.26,-1.26,-1.5,NULL,NULL,NULL
ZUMA     BRDV:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,1.5,1.26,1.26,-1.26,-1.26,-1.5,NULL,NULL,NULL
TAPIA NO.1N B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,18,14,14,-14,-14,-18,NULL,NULL,NULL
TAPIA NO.1S B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,18,14,14,-14,-14,-18,NULL,NULL,NULL
PEPPER NO.3W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.38,28,-28,-36.38,-40.6,NULL,NULL,NULL
CALECTRIC NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.91,36.94,28,-28,-36.94,-40.91,NULL,NULL,NULL
CALECTRIC NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.91,36.94,28,-28,-36.94,-40.91,NULL,NULL,NULL
MOULTON NO.1E:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.49,29.12,28,-28,-29.12,-32.49,NULL,NULL,NULL
MOULTON NO.1W:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
MOULTON NO.2E:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
MOULTON NO.2W:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
VALDEZ NO.2N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.2,36.2,-36.2,-36.2,-40.6,NULL,NULL,NULL
VALDEZ NO.4N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,29.12,-29.12,-29.12,-32.48,NULL,NULL,NULL
PHELAN NO.2E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.49,28.27,28.27,-28.27,-28.27,-32.49,NULL,NULL,NULL
BAIN NO.1 BAN:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
BAIN NO.2 BAN:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
SAN ONOFRE NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,14,14,14,-14,-14,-14,NULL,NULL,NULL
LAS LOMAS NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
NUGGET NO.1E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,9.33,8.59,7.22,-7.22,-8.59,-9.33,NULL,NULL,NULL
NUGGET NO.1W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.34,7.69,6.44,-6.44,-7.69,-8.34,NULL,NULL,NULL
VALDEZ NO.2S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.2,36.2,-36.2,-36.2,-40.6,NULL,NULL,NULL
VALDEZ NO.4S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,29.12,-29.12,-29.12,-32.48,NULL,NULL,NULL
CORONA NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.59,25.74,56,-56,-25.74,-34.59,NULL,NULL,NULL
CORONA NO.2 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.59,25.75,56,-56,-25.75,-34.59,NULL,NULL,NULL
