DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
SAN ONOFRE NO.1 BANK:SERIES,EMS,ABC,en_613996_S,en_613996,SRD_12.0KV_EMS,DMSLimitGrp1,SAN_ONOFRE,NULL,All
BULLIS NO.1 BANK:SERIES,EMS,ABC,en_252704_S,en_252704,SRD_16.0KV_EMS,DMSLimitGrp1,BULLIS,NULL,All
BULLIS NO.3 BANK:SERIES,EMS,ABC,en_253004_S,en_253004,SRD_4.0KV_EMS,DMSLimitGrp1,BULLIS,NULL,All
BULLIS NO.4 BANK:SERIES,EMS,ABC,en_253008_S,en_253008,SRD_4.0KV_EMS,DMSLimitGrp1,BULLIS,NULL,All
COMPTON NO.1 BANK:SERIES,EMS,ABC,en_255002_S,en_255002,SRD_4.0KV_EMS,DMSLimitGrp1,COMPTON,NULL,All
COMPTON NO.2 BANK:SERIES,EMS,ABC,en_255009_S,en_255009,SRD_4.0KV_EMS,DMSLimitGrp1,COMPTON,NULL,All
CARSON NO.3 BANK:SERIES,EMS,ABC,en_257701_S,en_257701,SRD_16.0KV_EMS,DMSLimitGrp1,CARSON,NULL,All
FERNWOOD NO.2 BANK:SERIES,EMS,ABC,en_262009_S,en_262009,SRD_16.0KV_EMS,DMSLimitGrp1,FERNWOOD,NULL,All
FERNWOOD NO.1 BANK:SERIES,EMS,ABC,en_262004_S,en_262004,SRD_16.0KV_EMS,DMSLimitGrp1,FERNWOOD,NULL,All
LYNWOOD NO.1 BANK:SERIES,EMS,ABC,en_264011_S,en_264011,SRD_4.0KV_EMS,DMSLimitGrp1,LYNWOOD,NULL,All
LYNWOOD NO.2 BANK:SERIES,EMS,ABC,en_264029_S,en_264029,SRD_4.0KV_EMS,DMSLimitGrp1,LYNWOOD,NULL,All
SIGNAL HILL NO.2 BANK:SERIES,EMS,ABC,en_282007_S,en_282007,SRD_4.0KV_EMS,DMSLimitGrp1,SIGNAL_HILL,NULL,All
SUNNYSIDE NO.1 BANK:SERIES,EMS,ABC,en_284006_S,en_284006,SRD_12.0KV_EMS,DMSLimitGrp1,SUNNYSIDE,NULL,All
