DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
COMPTON CAP 1_101,EMS,ABC,en_255611_SH,1,N,NULL,NULL,NULL,1200,4.0KV_1200,Fall-InSvcSchedule,,NULL,All
COMPTON CAP 2_102,EMS,ABC,en_255621_SH,1,N,NULL,NULL,NULL,1200,4.0KV_1200,Fall-InSvcSchedule,,NULL,All
CARSON CAP 1_103,EMS,ABC,en_257611_SH,1,N,NULL,NULL,NULL,3150,16.0KV_3150,Fall-InSvcSchedule,,NULL,All
CARSON CAP 2_104,EMS,ABC,en_257621_SH,1,N,NULL,NULL,NULL,6300,16.0KV_6300,Fall-InSvcSchedule,,NULL,All
FERNWOOD CAP 1_105,EMS,ABC,en_262119_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
LYNWOOD CAP 1_106,EMS,ABC,en_264611_SH,1,N,NULL,NULL,NULL,2100,4.0KV_2100,Fall-InSvcSchedule,,NULL,All
LYNWOOD CAP 2_107,EMS,ABC,en_264621_SH,1,N,NULL,NULL,NULL,2100,4.0KV_2100,Fall-InSvcSchedule,,NULL,All
SIGNAL HILL CAP 1_109,EMS,ABC,en_281612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SUNNYSIDE CAP 1_110,EMS,ABC,en_284612_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
SUNNYSIDE CAP 2_111,EMS,ABC,en_284622_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
SUNNYSIDE CAP 4_112,EMS,ABC,en_285123_SH,1,N,NULL,NULL,NULL,1650,4.0KV_1650,Fall-InSvcSchedule,,NULL,All
SUNNYSIDE CAP 3_113,EMS,ABC,en_285125_SH,1,N,NULL,NULL,NULL,2250,4.0KV_2250,Fall-InSvcSchedule,,NULL,All
PEDLEY CAP 1_241,EMS,ABC,en_601611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
PEDLEY CAP 2_242,EMS,ABC,en_601621_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
COTTONWOOD CAP 1_275,EMS,ABC,en_3505603_SH,1,N,NULL,NULL,NULL,4800,33.0KV_4800,Fall-InSvcSchedule,,NULL,All
TAPIA CAP 1_320,EMS,ABC,en_790101_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
LATIGO CAP 1_326,EMS,ABC,en_800601_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 8_422,EMS,ABC,en_1536681_SH,1,N,NULL,NULL,NULL,7200,12.0KV_7200,Fall-InSvcSchedule,,NULL,All
ATHENS CAP 1_445,EMS,ABC,en_1185601_SH,1,N,NULL,NULL,NULL,1530,4.0KV_1530,Fall-InSvcSchedule,,NULL,All
BULLIS CAP 1_625,EMS,ABC,en_252612_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
