DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
COMPTON CAP 1_DISC_101,EMS,ABC,en_255611,en_255611_SH,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
COMPTON CAP 2_DISC_102,EMS,ABC,en_255621,en_255621_SH,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS 16KV CB_103,EMS,ABC,en_257611,en_257611_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS 16KV CB_104,EMS,ABC,en_257621,en_257621_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS 16KV CB_105,EMS,ABC,en_262119,en_262119_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS CB_106,EMS,ABC,en_264611,en_264611_SH,NULL,N,Y,Y,N,Y,N,N,CB_4.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS CB_107,EMS,ABC,en_264621,en_264621_SH,NULL,N,Y,Y,N,Y,N,N,CB_4.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
SIGNAL HILL CAP 1_DISC_109,EMS,ABC,en_281612,en_281612_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
SUNNYSIDE CAP 1_DISC_110,EMS,ABC,en_284612,en_284612_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
SUNNYSIDE CAP 2_DISC_111,EMS,ABC,en_284622,en_284622_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
SUNNYSIDE CAP 4_DISC_112,EMS,ABC,en_285123,en_285123_SH,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
SUNNYSIDE CAP 3_DISC_113,EMS,ABC,en_285125,en_285125_SH,NULL,N,Y,Y,N,Y,N,N,DISC_4.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
PEDLEY CAP 1_DISC_241,EMS,ABC,en_601611,en_601611_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
PEDLEY CAP 2_DISC_242,EMS,ABC,en_601621,en_601621_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
COTTONWOOD CAP 1_DISC_275,EMS,ABC,en_3505603,en_3505603_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAP 16KV SW CB_320,EMS,ABC,en_790101,en_790101_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAP 16KV CB_326,EMS,ABC,en_800601,en_800601_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.8 CAPS SW_422,EMS,ABC,en_1536681,en_1536681_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS CB_445,EMS,ABC,en_1185601,en_1185601_SH,NULL,N,Y,Y,N,Y,N,N,CB_4.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAP BK CB_625,EMS,ABC,en_252612,en_252612_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAP BK SW_626,EMS,ABC,en_252621,en_252621_SH,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS CB_691,EMS,ABC,en_4301151,en_4301151_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1B CAP 16KV CB_715,EMS,ABC,en_2038797,en_2038797_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2B CAP 16KV CB_716,EMS,ABC,en_2038898,en_2038898_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS CB_738,EMS,ABC,en_3571609,en_3571609_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.4 CAPS CB_742,EMS,ABC,en_3039130,en_3039130_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
CALECTRIC CAP 1_DISC_784,EMS,ABC,en_1542603,en_1542603_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
CALECTRIC CAP 2_DISC_785,EMS,ABC,en_1542606,en_1542606_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
