DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
NO.1 BK 12KV CB RACKED IN/OUT_72,EMS,ABC,en_613996,en_613995,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 BK 12KV CB_169,EMS,ABC,en_613995,en_613999,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
GREAT PARK 12KV OPBUS DSC_519,EMS,ABC,en_3297999,en_3297601,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
GREAT PARK INRBUS DSC_520,EMS,ABC,en_3297601,en_3297500,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
MAYO W BUS DISC_7160,EMS,ABC,en_252999,en_252100,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
MAYO LINE DISC_7161,EMS,ABC,en_252101,en_252005,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
MAYO T BUS DISC_7162,EMS,ABC,en_252005,en_252050,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
MAYO E BUS DISC_7163,EMS,ABC,en_252100,en_252500,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
#1 BK 16 W BUS DISC_7164,EMS,ABC,en_252999,en_252102,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
#1 BK 16 BANK DISC_7165,EMS,ABC,en_252103,en_252006,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
#1 BK 16 T BUS DISC_7166,EMS,ABC,en_252006,en_252050,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
#1 BK 16 E BUS DISC_7167,EMS,ABC,en_252102,en_252500,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
TROCHU W BUS DISC_7168,EMS,ABC,en_252999,en_252104,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
TROCHU LINE DISC_7169,EMS,ABC,en_252105,en_252007,NULL,N,Y,Y,N,Y,N,N,DISC_16.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
