DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
SAN ONOFRE NO.1 BANK_2,EMS,ABC,en_637003,en_613996_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SAN ONOFRE NO.1 BANK:TYPE,SAN ONOFRE NO:LMT,SAN_ONOFRE,NULL,All,NULL
BULLIS NO.1 BANK_148,EMS,ABC,en_251704,en_252704_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,BULLIS NO.1 BANK:TYPE,BULLIS NO.1 B:LMT,BULLIS,NULL,All,NULL
BULLIS NO.3 BANK_149,EMS,ABC,en_251005,en_253004_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,BULLIS NO.3 BANK:TYPE,BULLIS NO.3 B:LMT,BULLIS,NULL,All,NULL
BULLIS NO.4 BANK_150,EMS,ABC,en_251007,en_253008_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,BULLIS NO.4 BANK:TYPE,BULLIS NO.4 B:LMT,BULLIS,NULL,All,NULL
BULLIS NO.2E BANK_151,EMS,ABC,en_251900,en_252702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,BULLIS NO.2E BANK:TYPE,BULLIS NO.2E :LMT,BULLIS,NULL,All,NULL
BULLIS NO.2W BANK_152,EMS,ABC,en_251901,en_252701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,BULLIS NO.2W BANK:TYPE,BULLIS NO.2W :LMT,BULLIS,NULL,All,NULL
COMPTON NO.1 BANK_153,EMS,ABC,en_254102,en_255002_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,COMPTON NO.1 BANK:TYPE,COMPTON NO.1 :LMT,COMPTON,NULL,All,NULL
COMPTON NO.2 BANK_154,EMS,ABC,en_254202,en_255009_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,COMPTON NO.2 BANK:TYPE,COMPTON NO.2 :LMT,COMPTON,NULL,All,NULL
CARSON NO.3 BANK_155,EMS,ABC,en_256006,en_257701_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CARSON NO.3 BANK:TYPE,CARSON NO.3 B:LMT,CARSON,NULL,All,NULL
CARSON NO.4N BANK_156,EMS,ABC,en_256900,en_257702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CARSON NO.4N BANK:TYPE,CARSON NO.4N :LMT,CARSON,NULL,All,NULL
FERNWOOD NO.2 BANK_157,EMS,ABC,en_261999,en_262009_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,FERNWOOD NO.2 BANK:TYPE,FERNWOOD NO.2:LMT,FERNWOOD,NULL,All,NULL
FERNWOOD NO.1 BANK_158,EMS,ABC,en_261050,en_262004_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,FERNWOOD NO.1 BANK:TYPE,FERNWOOD NO.1:LMT,FERNWOOD,NULL,All,NULL
LYNWOOD NO.1 BANK_159,EMS,ABC,en_263999,en_264011_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,LYNWOOD NO.1 BANK:TYPE,LYNWOOD NO.1 :LMT,LYNWOOD,NULL,All,NULL
LYNWOOD NO.2 BANK_160,EMS,ABC,en_263050,en_264029_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,LYNWOOD NO.2 BANK:TYPE,LYNWOOD NO.2 :LMT,LYNWOOD,NULL,All,NULL
SIGNAL HILL NO.1W BANK_164,EMS,ABC,en_280900,en_281701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SIGNAL HILL NO.1W BANK:TYPE,SIGNAL HILL N:LMT,SIGNAL_HILL,NULL,All,NULL
SIGNAL HILL NO.2 BANK_165,EMS,ABC,en_281010,en_282007_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SIGNAL HILL NO.2 BANK:TYPE,SIGNAL HILL N:LMT,SIGNAL_HILL,NULL,All,NULL
SUNNYSIDE NO.1 BANK_166,EMS,ABC,en_283002,en_284006_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SUNNYSIDE NO.1 BANK:TYPE,SUNNYSIDE NO.:LMT,SUNNYSIDE,NULL,All,NULL
SUNNYSIDE NO.3 BANK_167,EMS,ABC,en_283006,en_285002_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SUNNYSIDE NO.3 BANK:TYPE,SUNNYSIDE NO.:LMT,SUNNYSIDE,NULL,All,NULL
SUNNYSIDE NO.4 BANK_168,EMS,ABC,en_283008,en_285010_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SUNNYSIDE NO.4 BANK:TYPE,SUNNYSIDE NO.:LMT,SUNNYSIDE,NULL,All,NULL
SUNNYSIDE NO.2E BANK_169,EMS,ABC,en_283900,en_284147,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,SUNNYSIDE NO.2E BANK:TYPE,SUNNYSIDE NO.:LMT,SUNNYSIDE,NULL,All,NULL
ATHENS NO.1 BANK_223,EMS,ABC,en_1184051,en_1185054_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,ATHENS NO.1 BANK:TYPE,ATHENS NO.1 B:LMT,ATHENS,NULL,All,NULL
