TransformerTypeName,AutoTransformer,RealCoreLoss,ReactiveCoreLoss,PrimaryWinding,SecondaryWinding,PrimaryMaximumTap,PrimaryMinimumTap,SecondaryMaximumTap,SecondaryMinimumTap,PrimaryTapIncrement,SecondaryTapIncrement,PrimaryNominalTap,SecondaryNominalTap,KVARating,ResistiveLeakage,ReactiveLeakage,PrimaryVoltageLevelName,SecondaryVoltageLevelName
SAN ONOFRE NO.1 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.07,220.0kV_EMS,12.0kV_EMS
BULLIS NO.1 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.4673,69.0kV_EMS,16.0kV_EMS
BULLIS NO.3 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,1.0267,69.0kV_EMS,4.0kV_EMS
BULLIS NO.4 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,1.0267,69.0kV_EMS,4.0kV_EMS
BULLIS NO.2E BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.5153,69.0kV_EMS,16.0kV_EMS
BULLIS NO.2W BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.464,69.0kV_EMS,16.0kV_EMS
COMPTON NO.1 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,1.196,16.0kV_EMS,4.0kV_EMS
COMPTON NO.2 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,1.2,16.0kV_EMS,4.0kV_EMS
CARSON NO.3 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.46,69.0kV_EMS,16.0kV_EMS
CARSON NO.4N BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.4533,69.0kV_EMS,16.0kV_EMS
FERNWOOD NO.2 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.4833,69.0kV_EMS,16.0kV_EMS
FERNWOOD NO.1 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.46,69.0kV_EMS,16.0kV_EMS
LYNWOOD NO.1 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.7154,16.0kV_EMS,4.0kV_EMS
LYNWOOD NO.2 BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.7107,16.0kV_EMS,4.0kV_EMS
SIGNAL HILL NO.1W BANK:TYPE,N,0.0001,0.0001,DEL,YGD,16,-16,16,-16,0.625,0.625,0,0,100000,0.0005,0.6366,69.0kV_EMS,12.0kV_EMS
