CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
BOOST.SERIES.SERIES.IA,57425,-99,-99,-99,-99,-99,539787136,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182264,NO.5 BK 12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.IB,57426,-99,-99,-99,-99,-99,539787152,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182265,NO.5 BK 12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.IC,57427,-99,-99,-99,-99,-99,539787168,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182266,NO.5 BK 12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.POWP,80657,-99,-99,-99,-99,-99,538692368,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,MIR DAC Telem,AnalogPoint,113841,4A BK LS MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,1200,-1200,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|292|-292|308|-308|336|-336|448|-448,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.101_1296.SWPS,-99,105506,-99,-99,516,-99,270320384,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.101_1296,101_1296,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117808,101,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.102_1297.SWPS,-99,105507,-99,-99,516,-99,270320400,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.102_1297,102_1297,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117809,102,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.103_1298.SWPS,-99,105508,-99,-99,516,-99,270320416,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.103_1298,103_1298,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117810,103,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.BOOST DISC_310.SWPS,-99,105510,-99,-99,516,-99,270320448,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST DISC_31036,BOOST DISC_31036,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117812,BOOST DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.BYP DISC_1299.SWPS,-99,105509,-99,-99,516,-99,270320432,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BYP DISC_1299,BYP DISC_1299,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117811,BYP DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IA,36170,-99,-99,-99,-99,-99,538780720,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119363,NO.1 BK 66/12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
