LoadNumber,LoadName,PnaLoad,PssLoad,NspLoad,SectionNumber,StdDeviationForMwNoise,MwFrequencyBiasFactor,MvFrequencyBiasFactor,LoadType,OptimizationStatus,LoadShedCostCurvWF,MwConstantPowerFactor,MwConstantCurrentFactor,MwConstantImpedanceFactor,MvConstantPowerFactor,MvConstantCurrentFactor,MvConstantImpedanceFactor,ColdLoadAlphaFactor,ColdLoadBetaFactor,MwStandardDeviation,MwInversion,MwMeasOverrideStatus,MwReplacementValue,CmeMwUsage,MvStandardDeviation,MvInversion,MvMeasOverrideStatus,MvReplacementValue,CmeMvUsage,MwHiCtrlLimit,MwLowCtrlLimit,MwOptMinShiftTarg,MwMaxTransferFlag,MwPseudoMeasurementSe,MvPseudoMeasurementSe,MwInjErrDistribFactSe,MvInjErrDistribFactSe,ActiveMwCostCurve,FlaLoadSeqImpedanceFlag,FlaLoadPassiveComponent,FlaActiveCompZeroSeqResis,FlaActiveCompZeroSeqReac,FlaActiveCompPosSeqSubTrResis,FlaActiveCompPosSeqSubTrReac,FlaActiveCompPosSeqTrReac,FlaPassiveCompZeroSeqResis,FlaPassiveCompZeroSeqReac,FlaActiveCompNegativSeqResis,FlaActiveCompNegativSeqReac,TsmOptimizationStatus,AssetLabel,DefaultMwSchedule,DefaultMvOrPfSchedule,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,LoadResponseLeadTime,LoadResponseRateOfIncrease,LoadResponseRateOfDecrease,ConnectionStatusIndicatorRef,BusNumberRef,MwTelemetryRef,MvTelemetryRef,Mw_StandardDeviation,MwInversionFlag,MwCmeUsage,MwOverrideStatus,Mw_ReplacementValue,SetOrder4,MwAnalogPointRef,MwCtBreakerRef,Mv_StandardDeviation,MvInversionFlag,MvCmeUsage,MvOverrideStatus,Mv_ReplacementValue,SetOrder5,MvAnalogPointRef,MvCtBreakerRef,AmpStandardDeviation,AmpInversionFlag,AmpCmeUsage,AmpOverrideStatus,AmpReplacementValue,SetOrder6,AmpAnalogPointRef,AmpCtBreakerRef,CurveNumber,CostAtFirstBrkpt,MwAtBrkpt01,CostAtBrkpt01,MwAtBrkpt02,CostAtBrkpt02,MwAtBrkpt03,CostAtBrkpt03,MwAtBrkpt04,CostAtBrkpt04,MwAtBrkpt05,CostAtBrkpt05,MwAtBrkpt06,CostAtBrkpt06,MwAtBrkpt07,CostAtBrkpt07,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef
1,ALMTO AUX5-6 LD,Yes,Yes,Yes,900,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,NULL,0,0,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,3,+,In/Out,Normal,NULL,3177,111880,NULL,3,+,In/Out,Normal,NULL,3179,111881,NULL,10,+,Out,Block,NULL,3197,111878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,TEVIS,No,Yes,Yes,2,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2187109,6.1943,0.7433,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324276,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,33998,NULL,3,+,In/Out,Normal,NULL,1,103051,NULL,10,+,Out,Block,NULL,504,103048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,TERRY,No,Yes,Yes,5,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2188022,4.416,0.53,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324277,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34001,NULL,3,+,In/Out,Normal,NULL,1,103066,NULL,10,+,Out,Block,NULL,505,103063,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,BOYD,No,Yes,Yes,8,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2132379,2.5576,0.3069,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324278,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34003,NULL,3,+,In/Out,Normal,NULL,1,103076,NULL,10,+,Out,Block,NULL,506,103073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,CONY,No,Yes,Yes,11,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2148839,5.9545,0.7145,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324286,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34005,NULL,3,+,In/Out,Normal,NULL,1,103091,NULL,10,+,Out,Block,NULL,507,103088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,LAWS,No,Yes,Yes,12,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2174769,3.1871,0.3825,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324287,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34006,NULL,3,+,In/Out,Normal,NULL,1,103096,NULL,10,+,Out,Block,NULL,508,103093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,PARMA,No,Yes,Yes,14,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2179094,5.6448,0.6774,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324288,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34007,NULL,3,+,In/Out,Normal,NULL,1,103101,NULL,10,+,Out,Block,NULL,509,103098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,FOOTE,No,Yes,Yes,15,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2152212,2.2779,0.2733,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324289,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34008,NULL,3,+,In/Out,Normal,NULL,1,103106,NULL,10,+,Out,Block,NULL,510,103103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,TICKET,No,Yes,Yes,16,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2176589,5.0553,0.6066,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324290,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34009,NULL,3,+,In/Out,Normal,NULL,1,103111,NULL,10,+,Out,Block,NULL,511,103108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,RAMP,No,Yes,Yes,17,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2185481,2.902,0.348,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,324269,7,NULL,NULL,3,+,In/Out,Normal,NULL,4,34010,NULL,3,+,In/Out,Normal,NULL,1,103116,NULL,10,+,Out,Block,NULL,512,103113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
