PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
8,WASTEWATER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5291,39,
33,MOSS_LANDING,No,No,NULL,Inside,Yes,NULL,Yes,NULL,62,
79,TELEGRAPH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5892,34,
80,PARKWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5816,34,
81,MWD_COYOTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1027,34,
82,LA_HABRA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5832,34,
83,CAROLINA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5813,34,
84,BREA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8802,34,
85,OLINDA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,34,
86,OLINDA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5087,34,
87,NORWELD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8807,34,
96,TARZANA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
105,LEWIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5089,27,
120,REDONDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5227,25,
129,BUCK_BLVD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0256,38,
133,TESLA,No,No,NULL,Inside,Yes,NULL,Yes,NULL,62,
149,MOBILOIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5229,25,
150,VICTORIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5232,25,
151,VAPOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8559,25,
152,TORRANCE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5269,25,
153,TOPAZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5268,25,
154,OUTFALL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5127,25,
155,ROLLING_HILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5252,25,
157,AIRWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
159,YUKON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5241,25,
160,MOOG,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5212,25,
161,WALTERIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5233,25,
162,AMCO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5256,25,
163,NORTHROP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8556,25,
164,MARYMOUNT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5275,25,
165,LA_FRESA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,25,
166,BRIDGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5257,25,
167,BRIGHTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5226,25,
168,COMPRESS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8818,25,
169,COSMIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5214,25,
170,CREST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5264,25,
171,DITMAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5246,25,
172,HOWARD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5210,25,
173,HUGHTRON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5220,25,
174,LA_FRESA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5021,25,
211,RANDOLPH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5739,26,
214,REFUSE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5129,26,
215,SHULTZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5172,26,
216,BANDINI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5107,26,
217,FRUITLAND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5718,26,
218,VAIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5175,26,
219,LAG_BELL_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,26,
220,LAGUNA_BELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5074,26,
222,CALDEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5750,26,
225,CUDAHY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5714,26,
226,FEDERALGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5120,26,
227,SANTA_MONICA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5231,24,
228,MOVIE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5798,24,
229,TAHITI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5271,24,
230,STANHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5273,24,
231,SAWTELLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5250,24,
233,WINDSOR_HILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5235,24,
234,MWD_VENICE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1050,24,
235,CULVER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5204,24,
236,COLORADO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5242,24,
237,BEVERLY_A,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5201,24,
238,LA_CIENG_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,24,
239,LA_CIENEGA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5024,24,
240,SONY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5287,24,
241,MARINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5217,24,
310,LENZIE_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
326,SAN_BERNARDINO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8076,38,
327,TENNESSEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5628,38,
328,YUCAIPA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5636,38,
329,UNIMED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5682,38,
330,TIMOTEO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5604,38,
331,REDLANDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5629,38,
332,HIGHLAND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5619,38,
333,DEL_ROSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5670,38,
334,SAN_BERN_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,38,
335,CARDIFF,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5608,38,
336,INDIAN_WELLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8345,31,
343,TAMARISK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8099,31,
344,SANTA_ROSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8036,31,
351,CAPWIND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8302,31,
353,CONCHO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8017,31,
377,CAMINO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5068,33,
378,BLYTHE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8048,33,
379,GENE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5066,33,
380,IRON_MT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8273,33,
381,JULIAN_HINDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5063,33,
382,EAGLE_MOUNTAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5040,33,
469,LIVE_OAK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5611,35,
470,UPLAND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5635,35,
471,SAN_DIMAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5633,35,
