ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
83,DMS_SNMIGU_NO1_CAPS_KV             ,RealQ             ,1,             ,11,              ,71103,             ,           ,          ,   ,               ,
84,DMS_SNMIGU_NO2_CAPS_KV             ,RealQ             ,1,             ,11,              ,71107,             ,           ,          ,   ,               ,
6679,DMS0043636_Closecountinhibit       ,StateQ            ,4,             ,              ,1753504,              ,             ,           ,          ,   ,               ,
6680,DMS0043636_DailyOps                ,RealQ             ,4,             ,              ,              ,952106,             ,           ,          ,   ,               ,
6681,DMS0043636_DeltaVolts              ,RealQ             ,4,             ,              ,              ,952107,             ,           ,          ,   ,               ,
6682,DMS0043636_DeviceStatus            ,StateQ            ,4,             ,              ,1753509,              ,             ,           ,          ,   ,               ,
6683,DMS0043636_FuseStatus              ,StateQ            ,4,             ,              ,1753513,              ,             ,           ,          ,   ,               ,
6684,DMS0043636_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1753515,              ,             ,           ,          ,   ,               ,
6685,DMS0043636_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1753516,              ,             ,           ,          ,   ,               ,
6686,DMS0043636_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1753517,              ,             ,           ,          ,   ,               ,
6687,DMS0043636_ModeStatus              ,DiscreteQ         ,4,             ,              ,1753518,              ,             ,           ,          ,   ,               ,
6688,DMS0043636_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1753525,              ,             ,           ,          ,   ,               ,
6689,DMS0043636_RemoteHours             ,RealQ             ,4,             ,              ,              ,952109,             ,           ,          ,   ,               ,
6690,DMS0043636_Size                    ,RealQ             ,4,             ,              ,              ,952111,             ,           ,          ,   ,               ,
6691,DMS0043636_Volts                   ,RealQ             ,4,             ,              ,              ,952115,             ,           ,          ,   ,               ,
6692,DMS0043637_Closecountinhibit       ,StateQ            ,4,             ,              ,1640354,              ,             ,           ,          ,   ,               ,
6693,DMS0043637_DailyOps                ,RealQ             ,4,             ,              ,              ,884216,             ,           ,          ,   ,               ,
6694,DMS0043637_DeltaVolts              ,RealQ             ,4,             ,              ,              ,884217,             ,           ,          ,   ,               ,
6695,DMS0043637_DeviceStatus            ,StateQ            ,4,             ,              ,1640359,              ,             ,           ,          ,   ,               ,
6696,DMS0043637_FuseStatus              ,StateQ            ,4,             ,              ,1640363,              ,             ,           ,          ,   ,               ,
6697,DMS0043637_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1640365,              ,             ,           ,          ,   ,               ,
6698,DMS0043637_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1640366,              ,             ,           ,          ,   ,               ,
6699,DMS0043637_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1640367,              ,             ,           ,          ,   ,               ,
6700,DMS0043637_ModeStatus              ,DiscreteQ         ,4,             ,              ,1640368,              ,             ,           ,          ,   ,               ,
6701,DMS0043637_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1640375,              ,             ,           ,          ,   ,               ,
6702,DMS0043637_RemoteHours             ,RealQ             ,4,             ,              ,              ,884219,             ,           ,          ,   ,               ,
6703,DMS0043637_Size                    ,RealQ             ,4,             ,              ,              ,884221,             ,           ,          ,   ,               ,
6704,DMS0043637_Volts                   ,RealQ             ,4,             ,              ,              ,884225,             ,           ,          ,   ,               ,
6705,DMS0046108_DailyOps                ,RealQ             ,4,             ,              ,              ,1094552,             ,           ,          ,   ,               ,
6706,DMS0046108_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1094553,             ,           ,          ,   ,               ,
6707,DMS0046108_Size                    ,RealQ             ,4,             ,              ,              ,1094557,             ,           ,          ,   ,               ,
6708,DMS0046108_Volts                   ,RealQ             ,4,             ,              ,              ,1094559,             ,           ,          ,   ,               ,
6709,DMS0107870_Closecountinhibit       ,StateQ            ,4,             ,              ,1839904,              ,             ,           ,          ,   ,               ,
6710,DMS0107870_DailyOps                ,RealQ             ,4,             ,              ,              ,1118827,             ,           ,          ,   ,               ,
6711,DMS0107870_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1118828,             ,           ,          ,   ,               ,
6712,DMS0107870_DeviceStatus            ,StateQ            ,4,             ,              ,2016195,              ,             ,           ,          ,   ,               ,
6713,DMS0107870_FuseStatus              ,StateQ            ,4,             ,              ,1839913,              ,             ,           ,          ,   ,               ,
6714,DMS0107870_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,2016199,              ,             ,           ,          ,   ,               ,
6715,DMS0107870_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,2016200,              ,             ,           ,          ,   ,               ,
