ObjectName,ObjectType,InterpretationTable,SeqOfEvents,ServerControlCenterRef,DomainNameRef,DataSetNameRef,StatusPointRef,AnalogPointRef,AccumPointRef,CmePointRef,ClientControlCenterRef,
DMS_ACTON_BOOTLEGGER_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217343,NULL,NULL,NULL,
DMS_ACTON_NO1_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217298,NULL,NULL,NULL,
DMS_ACTON_NO1_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217296,NULL,NULL,NULL,
DMS_ACTON_NO1_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217295,NULL,NULL,NULL,
DMS_ACTON_NO1_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267966,NULL,NULL,NULL,NULL,
DMS_ACTON_NO1_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217315,NULL,NULL,NULL,
DMS_ACTON_NO1_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267965,NULL,NULL,NULL,NULL,
DMS_ACTON_NO1_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267964,NULL,NULL,NULL,NULL,
DMS_ACTON_NO2_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217308,NULL,NULL,NULL,
DMS_ACTON_NO2_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217306,NULL,NULL,NULL,
DMS_ACTON_NO2_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217305,NULL,NULL,NULL,
DMS_ACTON_NO2_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267970,NULL,NULL,NULL,NULL,
DMS_ACTON_NO2_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217319,NULL,NULL,NULL,
DMS_ACTON_NO2_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267969,NULL,NULL,NULL,NULL,
DMS_ACTON_NO2_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,267968,NULL,NULL,NULL,NULL,
DMS_ACTON_PICK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217325,NULL,NULL,NULL,
DMS_ACTON_SHOVEL_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,217331,NULL,NULL,NULL,
DMS_ALDER_AUGUSTA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,208151,NULL,NULL,NULL,
DMS_ALDER_AYALA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,230043,NULL,NULL,NULL,
DMS_ALDER_BOLOR_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,181668,NULL,NULL,NULL,
DMS_ALDER_CASMALIA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197705,NULL,NULL,NULL,
DMS_ALDER_CHARLIE_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,175301,NULL,NULL,NULL,
DMS_ALDER_DORSEY_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241963,NULL,NULL,NULL,NULL,
DMS_ALDER_DORSEY_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197717,NULL,NULL,NULL,
DMS_ALDER_DORSEY_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197720,NULL,NULL,NULL,
DMS_ALDER_DORSEY_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241964,NULL,NULL,NULL,NULL,
DMS_ALDER_FRISBIE_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242022,NULL,NULL,NULL,NULL,
DMS_ALDER_FRISBIE_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197758,NULL,NULL,NULL,
DMS_ALDER_FRISBIE_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197761,NULL,NULL,NULL,
DMS_ALDER_FRISBIE_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242023,NULL,NULL,NULL,NULL,
DMS_ALDER_GILFILLAN_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241994,NULL,NULL,NULL,NULL,
DMS_ALDER_GILFILLAN_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197738,NULL,NULL,NULL,
DMS_ALDER_GILFILLAN_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197741,NULL,NULL,NULL,
DMS_ALDER_GILFILLAN_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241995,NULL,NULL,NULL,NULL,
DMS_ALDER_HEATHER_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242001,NULL,NULL,NULL,NULL,
DMS_ALDER_HEATHER_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197743,NULL,NULL,NULL,
DMS_ALDER_HEATHER_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197746,NULL,NULL,NULL,
DMS_ALDER_HEATHER_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242002,NULL,NULL,NULL,NULL,
