DeviceNumber,DeviceName,ControlType,PnaSrd,PssSrd,NspSrd,CircuitID,FromSectionNumber,ToSectionNumber,LossMinimization,FlowLimitType,FlowLimitMonitorBaseCase,FlowLimitEnforceBaseCase,FlowLimitHardnessBaseCase,FlowLimitMonitorCaCase,FlowLimitEnforceCaCase,FlowLimitHardnessCaCase,FlowLimitViolSevWt,FromEndLimit1,FromEndLimit2,FromEndLimit3,ToEndLimit1,ToEndLimit2,ToEndLimit3,FixedSeriesResistance,FixedSeriesReactance,FlaDeviceZeroSeqFixResis,FlaDeviceZeroSeqFixReac,AssetLabel,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,ConnectionStatusIndicatorRef,OwnerBusNumberRef,FromBusNumberRef,ToBusNumberRef,FromCtBreakerRef,ToCtBreakerRef,FromMwStandardDeviation,FromMwInversionFlag,FromMwCmeUsage,FromMwOverrideStatus,FromMwReplacementValue,SetOrder2,FromMwAnalogPointRef,FromMwCtBreakerRef,FromMvStandardDeviation,FromMvInversionFlag,FromMvCmeUsage,FromMvOverrideStatus,FromMvReplacementValue,SetOrder3,FromMvAnalogPointRef,FromMvCtBreakerRef,FromAmpStandardDeviation,FromAmpInversionFlag,FromAmpCmeUsage,FromAmpOverrideStatus,FromAmpReplacementValue,SetOrder9,FromAmpAnalogPointRef,FromAmpCtBreakerRef,ToMwStandardDeviation,ToMwInversionFlag,ToMwCmeUsage,ToMwOverrideStatus,ToMwReplacementValue,SetOrder4,ToMwAnalogPointRef,ToMwCtBreakerRef,ToMvStandardDeviation,ToMvInversionFlag,ToMvCmeUsage,ToMvOverrideStatus,ToMvReplacementValue,SetOrder5,ToMvAnalogPointRef,ToMvCtBreakerRef,ToAmpStandardDeviation,ToAmpInversionFlag,ToAmpCmeUsage,ToAmpOverrideStatus,ToAmpReplacementValue,SetOrder8,ToAmpAnalogPointRef,ToAmpCtBreakerRef,FromEndLimitTelemetryRef,FromAmpereLimitTelemetryRef,ToEndLimitTelemetryRef,ToAmpereLimitTelemetryRef,FromMvaCmeOutputRef,ToMvaCmeOutputRef,LimitNumber,FromEndDynLimit1,FromEndDynLimit2,FromEndDynLimit3,ToEndDynLimit1,ToEndDynLimit2,ToEndDynLimit3,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef,FromEndOpenIndicatorRef,ToEndOpenIndicatorRef,
11,CABRI 12KV A PAR,Fixed,No,Yes,Yes,1,115,166,IncludedIfOwner,Mva,On,On,1,On,On,1,1,74,82,100,74,82,100,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,323912,157,157,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,214967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323913,323914,
12,CABRI 4KV C PAR,Fixed,No,Yes,Yes,3,147,167,IncludedIfOwner,Mva,On,On,1,On,On,1,1,74,82,100,74,82,100,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,323915,157,157,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,214970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323916,323917,
13,CABRI 4KV B BT,Fixed,No,Yes,Yes,2,131,168,IncludedIfOwner,Mva,On,On,1,On,On,1,1,74,82,100,74,82,100,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,323918,157,157,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,215089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323919,323920,
17,CABRI 4KV D BT,Fixed,No,Yes,Yes,4,170,171,IncludedIfOwner,Mva,On,On,1,On,On,1,1,74,82,100,74,82,100,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,323921,157,157,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,215095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323922,323923,
55,GISLER BK 1,Fixed,Yes,Yes,Yes,0,155,3,IncludedIfOwner,Mva,On,On,1,On,On,1,1,62.17,115,135,62.17,65.22,65.22,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,321250,1504,1504,1504,NULL,NULL,3,+,In/Out,Normal,NULL,10,122349,NULL,3,+,In/Out,Normal,NULL,11,122350,NULL,10,+,Out,Block,NULL,13,122345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,321251,321252,
56,GISLER BK 3,Fixed,Yes,Yes,Yes,1,156,13,IncludedIfOwner,Mva,On,On,1,On,On,1,1,63.46,65.22,65.22,63.46,65.22,65.22,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,321253,1504,1504,1504,NULL,NULL,3,+,In/Out,Normal,NULL,10,122361,NULL,3,+,In/Out,Normal,NULL,11,122362,NULL,10,+,Out,Block,NULL,13,122357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,321254,321255,
71,ROLL HIIL 4 TIE,Fixed,No,Yes,Yes,0,2,202,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326797,227,227,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326798,326799,
78,LIGHTH SLP TIE,Fixed,No,Yes,Yes,0,108,800,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326684,243,243,243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326685,326686,
123,STATE ST 12 TIE,Fixed,No,Yes,Yes,0,19,500,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326666,382,382,382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,+,In/Out,Normal,NULL,3245,107220,NULL,10,+,Out,Block,NULL,3244,107217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326667,326668,
125,LOOP SECTION 1,Fixed,No,Yes,Yes,2,292,216,IncludedIfOwner,Mva,On,On,1,On,On,1,1,504,600,600,504,600,600,.003,.003,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326672,382,382,382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,-,In/Out,Normal,NULL,1,107205,NULL,10,+,Out,Block,NULL,2,107202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326673,326674,
