CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
ALESSARO.BUS.ALESSANDRO 115.Volt,77617,-99,-99,-99,-99,-99,540173424,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 115_544_999_89_0,ALESSANDRO 115_544_999_89_0,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206407,NO.3 CAPS KV,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,127.7649994,-127.7649994,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|119|112||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 12_.Volt,77488,-99,-99,-99,-99,-99,540171360,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 12_3275_064_206_1,ALESSANDRO 12_3275_064_206_1,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206278,NO.5 BK KV BC,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,14.5439997,-14.5439997,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|12.6|6.6||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 12_.Volt,77502,-99,-99,-99,-99,-99,540171584,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 12_3275_058_205_0,ALESSANDRO 12_3275_058_205_0,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206292,NO.4 BK KV BC,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,14.5439997,-14.5439997,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|12.6|6.6||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 12_.Volt,77619,-99,-99,-99,-99,-99,540173456,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 12_3275_999_207_2,ALESSANDRO 12_3275_999_207_2,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206409,NO.2 CAPS KV,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,14.5439997,-14.5439997,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|14|11.8||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 12_.Volt,77620,-99,-99,-99,-99,-99,540173472,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 12_3275_498_208_3,ALESSANDRO 12_3275_498_208_3,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206410,NO.4 CAPS KV,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,14.5439997,-14.5439997,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|14|11.8||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 33_.Volt,77464,-99,-99,-99,-99,-99,540170976,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 33_3277_055_209_0,ALESSANDRO 33_3277_055_209_0,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206254,NO.1 BK KV BC,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,39.9959984,-39.9959984,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|36.2999992|18.1499996||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 33_.Volt,77476,-99,-99,-99,-99,-99,540171168,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 33_3277_058_210_1,ALESSANDRO 33_3277_058_210_1,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206266,NO.2 BK KV BC,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,39.9959984,-39.9959984,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|36.2999992|18.1499996||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.BUS.ALESSANDRO 33_.Volt,77618,-99,-99,-99,-99,-99,540173440,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO 33_3277_999_211_2,ALESSANDRO 33_3277_999_211_2,BUS,EMS,BUS,NULL,NULL,NULL,NULL,NULL,NULL,DMS,NULL,NULL,NULL,NULL,NULL,VOLT,VOLT,NULL,ABC,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206408,NO.1 CAPS KV,YES,Yes,0,Yes,KV,NO,NO,Yes,Class 2:Class 2,9:9,39.9959984,-39.9959984,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|36|31||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SERIES.ALESSANDRO BK .IA,77480,-99,-99,-99,-99,-99,540171232,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO BK 5_1246,ALESSANDRO BK 5_1246,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206270,NO.5 BK IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6060,-6060,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|2645|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SERIES.ALESSANDRO BK .IA,77494,-99,-99,-99,-99,-99,540171456,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.ALESSANDRO BK 4_1245,ALESSANDRO BK 4_1245,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,206284,NO.4 BK IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6060,-6060,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|2100|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
