PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
39,CALDWELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8360,47,
272,RIVERTEX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8007,47,
274,PHELAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8010,47,
275,ROADWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8000,47,
276,SAVAGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8020,47,
277,PERMANENTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8090,47,
280,HESPERIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8087,47,
283,MOHAVE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5045,47,
284,SOPORT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8340,47,
285,BLACK_MOUNTAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8023,47,
286,AQUEDUCT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8079,47,
287,APPLE_VALLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8013,47,
288,VICTOR_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,47,
289,VICTOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8049,47,
290,PLUESS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8353,47,
291,COTTONWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8027,47,
695,VICTORVILLE,No,Yes,NULL,Inside,Yes,NULL,Yes,8260,47,
797,SOUTHCAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8197,47,
798,SOUTHDOWN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8199,47,
948,WRIGHTWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5461,47,
998,LUCERNE,No,No,NULL,Inside,Yes,NULL,Yes,8220,47,
1001,COLUSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0265,47,
1029,BRYMAN,No,Yes,NULL,Inside,Yes,NULL,Yes,8117,47,
1039,ORO_GRANDE,No,No,NULL,Inside,Yes,NULL,Yes,8212,47,
1060,GOLDHILL,No,No,NULL,Inside,Yes,NULL,Yes,8294,47,
1065,HELENDALE,No,No,NULL,Inside,Yes,NULL,Yes,8163,47,
1172,GEORGE_AFB,No,No,NULL,Inside,Yes,NULL,Yes,8149,47,
