AssetID,GroupName,Description,SerialNumber,High_Node,Low_Node,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,ComponentTypeName,StringValue,SubDeviceAssetID,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName
1011:6532,DMS,NULL,NULL,en_238999,en_238101,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173915,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1013:6534,DMS,NULL,NULL,en_238102,en_238001,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173916,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1021:6538,DMS,NULL,NULL,en_238999,en_238105,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173906,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1023:6540,DMS,NULL,NULL,en_238106,en_238002,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173907,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1031:6497,DMS,NULL,NULL,en_237999,en_237100,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,115694,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1031:6544,DMS,NULL,NULL,en_238999,en_238109,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173901,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1033:6499,DMS,NULL,NULL,en_237101,en_237003,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,115696,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1033:6546,DMS,NULL,NULL,en_238110,en_238003,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173902,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1041:6501,DMS,NULL,NULL,en_237999,en_237102,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,115699,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1042 BK 1:6502,DMS,NULL,NULL,en_237102,en_237103,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173323,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
1043:6503,DMS,NULL,NULL,en_237103,en_237004,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,115701,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
