SwitchNumber,SwitchName,PseudoSwitch,PnaSwitch,PssSwitch,NspSwitch,FromSectionNumber,ToSectionNumber,NormalSwitchingDeviceState,DefaultState,ControlDelay,SwitchingDeviceType,ScadaOpenState,ScadaCloseState,FlaSwitchBreakTime,FlaSinglePhsAsyBrkCurrRating,FlaSinglePhsAsyMakeCurrRating,FlaSinglePhsSymBrkCurrRating,FlaThreePhsAsyBrkCurrRating,FlaThreePhsAsyMakeCurrRating,FlaThreePhsSymBrkCurrRating,FlaSwitchRatedVoltage,AssetLabel,DTSLoadFeederBreaker,SwitchDevStateTransitionRef,BusNumberRef,SwitchTelemetryRef,ControlValidationSwDevTransRef,Mw_StandardDeviation,MwInversionFlag,MwCmeUsage,MwOverrideStatus,Mw_ReplacementValue,MwMeasurementSection,SetOrder4,MwAnalogPointRef,Mv_StandardDeviation,MvInversionFlag,MvCmeUsage,MvOverrideStatus,Mv_ReplacementValue,MvMeasurementSection,SetOrder5,MvAnalogPointRef,AmpStandardDeviation,AmpInversionFlag,AmpCmeUsage,AmpOverrideStatus,AmpReplacementValue,AmpMeasurementSection,SetOrder6,AmpAnalogPointRef
0,1011,No,No,Yes,No,999,100,Closed,Closed,0,Isolator,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1012,,,,,100,101,,Closed,,Normal,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1013,,,,,101,1,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2011,,,,,1,102,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,,,,,102,103,,Closed,,Normal,,,,,,,,,,,Protected,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013,,,,,103,51,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3011,,,,,51,103,,Open,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3012,,,,,103,104,,Open,,Normal,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3013,,,,,104,50,,Open,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1021,,,,,999,105,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1022,,,,,105,106,,Closed,,Normal,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1023,,,,,106,2,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021,,,,,2,107,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022,,,,,107,108,,Closed,,Normal,,,,,,,,,,,Protected,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023,,,,,108,52,,Closed,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3021,,,,,52,108,,Open,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3022,,,,,108,109,,Open,,Normal,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3023,,,,,109,50,,Open,,Isolator,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PSE BK 1,Yes,Yes,No,No,,,,Closed,,Isolator,,,,,,,,,,,,,,0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,
19,PSE BK 2,Yes,Yes,No,No,,,,Closed,,Isolator,,,,,,,,,,,,,,0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,
