StationName,StationNameAbbreviated,LogicalDisplayReference,GeneralPointNumber,
29 PALMS MARINE BASE,29PLMRNB,29 PALMS,NULL,
ACTON,ACTON,ACTON,NULL,
ADELANTO DWP,ADELANTO,dwpadelanto,NULL,
AEROJET,AEROJET,azusa,NULL,
AGOURA,AGOURA,AGOURA,NULL,
AGUA_MANSA_I,AGUMNSAI,AGUAMANSA,NULL,
AIRCHEM,AIRCHEM,airchem,NULL,
AIRPRODUCTS,AIRPRODS,airproducts,NULL,
ALAMITOS A,ALAMTS_A,alamitos,NULL,
ALAMITOS POLE SW,ALAMTS P,alamitos66ovw,NULL,
ALAMITOS RELAYS,ALAMTS R,alamitos,NULL,
ALAMITOS SAS,ALAMTS_S,alamitos,NULL,
ALAMO CDWR,ALAMO,NULL,NULL,
ALBA,ALBA,ALBA,NULL,
ALDER SAS,ALDER_S,alder,NULL,
ALESSANDRO SAS,ALESSA_S,alessandro,NULL,
ALHAMBRA BMS RTU,ALH_UPS,ALHAMBRAUPS,NULL,
ALHAMBRA SAS,ALHAMB_S,alhambra,NULL,
ALHAM_AG,ALHAM_AG,ALHAM_AG,NULL,
ALHAM_AG2,ALH_AG2,ALHAM_AG2,NULL,
ALLEN,ALLEN,allen,NULL,
ALON,ALON,alon,NULL,
ALON   2 12 LIG,ALON   2,NULL,NULL,
ALPINESOLAR,ALPSOLAR,ALPSOLAR,NULL,
ALTECHIIDIFFWIND,ALTECHII,altechii,NULL,
ALTWIND,ALTWIND,altwind,NULL,
AMADOR,AMADOR,amador,NULL,
AMALIA SAS,AMALIA,amalia,NULL,
AMARGO,AMARGO,amargo,NULL,
AMCO,AMCO,aircast,NULL,
AMERON,AMERON,ameron,NULL,
ANAVERDE SAS,ANAVER_S,anaverde,NULL,
ANITA,ANITA,anita,NULL,
ANTELOPE,ANTELOPE,antelope,NULL,
ANTELOPE RAS A,ANT_RASA,anteloperasa,NULL,
ANTELOPE RAS B,ANT_RASB,anteloperasb,NULL,
ANTELOPE S2B,ANT_S2B,ANTELOPE,NULL,
ANTELOPE-C,ANTELOPC,antelope66,NULL,
ANTELOPEWIND,ANTEWIND,antelopewind,NULL,
ANTLP-BAILEY POLE SW,ANTELP P,antelope66ovw,NULL,
APL,APL,apl,NULL,
APOLLO,APOLLO,apollo,NULL,
APPGEN,APPGEN,appgen,NULL,
APPLE VALLEY SAS,APPLE VA,applevalley,NULL,
APS-CEDAR MTN,WACDRMTN,APSCEDARMTN,NULL,
APS-DUGAS,WADUGAS,APSDUGAS,NULL,
APS-HOODOO WASH,WAHDWASH,APSHDWASH,NULL,
APS-MOENKOPI,WAMOENKP,moenkopi,NULL,
APS-MORGAN,WAMORGAN,APSMORGAN,NULL,
APS-NOGILA,WANOGILA,APSNOGILA,NULL,
APS-YAVAPAI,WAYVAPAI,APSYAVAPAI,NULL,
AQUEDUC,AQUEDUC,AQUEDUCT,NULL,
AQUEDUCT,AQUEDUCT,aqueduct,NULL,
ARBORS_I,ARBORS_I,ARBORS,NULL,
ARBWIND,ARBWIND,arbwind,NULL,
ARCADIA SAS,ARCADA_S,arcadia,NULL,
ARCH BEACH SAS,ARCH BCH,archbeach,NULL,
ARCHIBALD SAS,ARCHIB_S,archibald,NULL,
ARCHLN_S,ARCHLN_S,archline,NULL,
ARCO,ARCO,NULL,NULL,
ARCOGEN,ARCOGEN,arcogen,NULL,
ARGUELLO,ARGUELLO,arguello,NULL,
AROWHD_P,AROWHD_P,arrowheadp,NULL,
ARRO,ARRO,stoddard,NULL,
ARROWHEAD,ARROWHEA,arrowhead,NULL,
ARROYO,ARROYO,arroyo,NULL,
ARTESIA,ARTESIA,artesia,NULL,
ASTRO,ASTRO,astro,NULL,
ATHENS SAS,ATHENS,athens,NULL,
ATP Station,ATPSta,NULL,NULL,
ATWOOD,ATWOOD,atwood,NULL,
AULD_S,AULD_S,auld,NULL,
AVENUE,AVENUE,AVENUE,NULL,
AVSOLAR1,AVSOLAR1,AVSOLAR1,NULL,
AZUSA,AZUSA,azusa,NULL,
BADILLO SAS,BADILLO,badillo,NULL,
BAILEY,BAILEY,bailey,NULL,
BAIN SAS,BAIN_SAS,bain,NULL,
BAKER,BAKER,NULL,NULL,
BANDINI,BANDINI,bandini,NULL,
BANNING HTS CITY,BNNG HTS,NULL,NULL,
BANNIN_S,BANNIN_S,BANNING,NULL,
BARRE COGEN,BARRE CG,NULL,NULL,
BARRE PEAKER,BARREPKR,barrepkr,NULL,
BARRE POLE SW,BARRE  P,barre66ovw,NULL,
BARRE RELAYS,BARRE  R,barre66ovw,NULL,
BARRE SAS,BARRE_S,barre,NULL,
BARSTOW,BARSTOW,NULL,NULL,
BARTOLO SAS,BARTOLO,bartolo,NULL,
BASSETT SAS,BASSET_S,bassett,NULL,
BASTA,BASTA,basta,NULL,
BAYSIDE,BAYSIDE,bayside,NULL,
BC2_12KV,BC2_12KV,BIGCRK2_12,NULL,
