BusNumber,BusName,PnaBus,PssBus,NspBus,VoltageBase,ExModelRetentionFlag,ExternalModelXref,VisibleBus,HighVoltageLimit1,LowVoltageLimit1,HighVoltageLimit2,LowVoltageLimit2,HighVoltageLimit3,LowVoltageLimit3,VoltConstraintSiWeightFactor,VoltConstraintHardnessFactor,CaCaseVoltConstraintHardFactor,VoltConstraintMonitorStatus,VoltConstraintEnforceStatus,VoltLimitMonitorCaCase,VoltLimitEnforceCaCase,VoltChangeHiLimit1,VoltChangeLowLimit1,VoltChangeHiLimit2,VoltChangeLowLimit2,VoltChangeHiLimit3,VoltChangeLowLimit3,VoltChngLimitSevWtCaCase,VoltChngLimitHardness,VoltChngLimitMonitor,VoltChngLimitEnforce,RegionOfInterest,AssetLabel,PseudoBus,ScheduleDataFlag,StationNumberRef,VoltageLimitAnalogPointRef,LimitNumber,HighDynLimit1,HighDynLimit2,HighDynLimit3,LowDynLimit1,LowDynLimit2,LowDynLimit3,VoltStandardDeviation,VoltCmeUsage,VoltOverrideStatus,VoltReplacementValue,VoltMeasurementSection,NetStatProcKvThresholdLimit,SetOrder1,VoltAnalogPointRef,AngleCmeUsage,AngleMeasurementSection,SetOrder2,AngleAnalogPointRef,StaticBusSplitIndicatorRef
1,ALAMTS 220 W,Yes,Yes,Yes,230,Retain,NULL,Yes,241.5,218.5,253,207,253,207,1,1,1,On,On,On,On,6.9,-6.9,13.8,-13.8,13.8,-13.8,1,1,On,On,UseStationFlag,NULL,No,Yes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Out,Block,NULL,999,NULL,1,118336,Out!Out,999!50,1!2,300446!300447,301900
2,ALAMITOS 66,Yes,Yes,Yes,69,Retain,NULL,Yes,70.87,64.12,74.25,60.75,74.25,60.75,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,On,On,UseStationFlag,NULL,No,Yes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1!1,Out!In/Out!In/Out!In/Out!In/Out!In/Out,Normal!Normal!Normal!Normal!Normal!Normal,NULL!NULL!NULL!NULL!NULL!NULL,50!10!16!999!999!50,NULL!NULL!NULL!NULL!NULL!NULL,1!3757!3758!9346!9348!9349,118337!111890!111907!107003!103028!103029,Out,999,1,300163,NULL
3,CALDWELL 220,Yes,Yes,Yes,230,Retain,NULL,Yes,241.5,218.5,253,207,253,207,1,1,1,On,On,On,On,6.9,-6.9,13.8,-13.8,13.8,-13.8,1,1,On,On,UseStationFlag,NULL,No,Yes,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,In/Out,Normal,NULL,999,NULL,1,200447,Out,999,1,300149,301910
4,ALAMITOS G.1,Yes,Yes,Yes,18.8,Retain,NULL,Yes,19.8,16.2,19.8,16.2,19.8,16.2,1,1,1,On,On,On,On,0.564,-0.564,1.128,-1.128,1.128,-1.128,1,1,On,On,UseStationFlag,NULL,No,Yes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ALAMITOS G.2,Yes,Yes,Yes,18.8,Retain,NULL,Yes,19.8,16.2,19.8,16.2,19.8,16.2,1,1,1,On,On,On,On,0.54,-0.54,1.08,-1.08,1.08,-1.08,1,1,On,On,UseStationFlag,NULL,No,Yes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,RIVERWAY 66,Yes,Yes,Yes,69,Retain,NULL,Yes,70.87,64.12,74.25,60.75,74.25,60.75,1,1,1,On,On,On,On,1.98,-1.98,3.96,-3.96,3.96,-3.96,1,1,On,On,UseStationFlag,NULL,No,Yes,729,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,STADIUM 12,Yes,Yes,Yes,12,Retain,NULL,Yes,13.2,10.8,13.2,10.8,13.2,10.8,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.7482,-0.7482,0.7482,-0.7482,1,1,Off,Off,UseStationFlag,NULL,No,Yes,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,In/Out!In/Out,Normal!Normal,NULL!NULL,6!13,NULL!NULL,1!2,103030!103031,NULL,NULL,NULL,NULL,NULL
8,NAPLES 12,No,No,Yes,12,Retain,NULL,Yes,13.2,10.8,13.2,10.8,13.2,10.8,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.7482,-0.7482,0.7482,-0.7482,1,1,Off,Off,UseStationFlag,NULL,No,Yes,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,Out!Out,Block!Block,NULL!NULL,4!1,NULL!NULL,1!2,119472!119483,NULL,NULL,NULL,NULL,NULL
9,NAPLES 4,No,No,Yes,4,Retain,NULL,Yes,4.4,3.6,4.4,3.6,4.4,3.6,1,1,1,Off,Off,Off,Off,0.1308,-0.1308,0.2616,-0.2616,0.2616,-0.2616,1,1,Off,Off,UseStationFlag,NULL,No,Yes,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Out,Block,NULL,21,NULL,1,119490,NULL,NULL,NULL,NULL,NULL
10,ALAMITOS G.5,Yes,Yes,Yes,20,Retain,NULL,Yes,21,19,21,19,21,19,1,1,1,On,On,On,On,0.54,-0.54,1.08,-1.08,1.08,-1.08,1,1,On,On,UseStationFlag,NULL,No,Yes,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
