StateGroupSet,StateNumber,LockableState,StateName,
1!1,1!2,NULL!NULL,Open!Closed,
2!2!2!2,1!2!3!4,NULL!NULL!NULL!NULL,Open!Closed!Travel!Invalid,
3!3!3,1!2!3,NULL!NULL!NULL,Off!Unilateral!Bilateral,
4!4!4,1!2!3,NULL!NULL!NULL,Valid!Invalid!Default,
5!5,1!2,NULL!NULL,Online!Offline,
6!6!6!6!6!6!6!6!6!6!6!6,1!2!3!4!5!6!7!8!9!10!11!12,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Online!Offline!Spared!Disabled!Exercise!Assigned!DTS!Available!Failed!Failback!Simulated!Not Config,
7!7!7!7!7!7!7,1!2!3!4!5!6!7,NULL!NULL!NULL!NULL!NULL!NULL!NULL,< 1 msec!1-5 msec!5-50 msec!50-500 msec!> 500 msec!Undefined!Init Pwr Up,
8!8!8!8,1!2!3!4,NULL!NULL!NULL!NULL,Offline!AvailableOn!AvailableOff!Deactivated,
9!9!9!9!9!9!9!9!9!9!9!9,1!2!3!4!5!6!7!8!9!10!11!12,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze!Simulate,
10!10!10!10!10!10!10!10!10!10!10!10!10,1!2!3!4!5!6!7!8!9!10!11!12!13,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Dev!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze!Simulate,
11!11!11!11!11!11!11!11!11!11!11!11!11,1!2!3!4!5!6!7!8!9!10!11!12!13,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Chan!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze!Simulate,
12!12!12!12!12!12!12!12!12!12!12!12!12!12,1!2!3!4!5!6!7!8!9!10!11!12!13!14,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Dev!Switch Chan!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze!Simulate,
13!13!13!13!13!13,1!2!3!4!5!6,NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Exercise,
14!14!14!14!14!14!14,1!2!3!4!5!6!7,NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Dev!Exercise,
15!15!15!15!15!15!15,1!2!3!4!5!6!7,NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Chan!Exercise,
16!16!16!16!16!16!16!16,1!2!3!4!5!6!7!8,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Disable!Selftest!Reset!Update Stats!Switch Dev!Switch Chan!Exercise,
17!17!17!17!17!17!17!17!17,1!2!3!4!5!6!7!8!9,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Enable All!Disable!Disable All!Selftest!Reset!Update Stats!Switch Dev!Exercise,
18!18!18!18!18!18!18!18!18!18!18!18!18,1!2!3!4!5!6!7!8!9!10!11!12!13,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Enable All!Disable!Disable All!Selftest!Reset!Update Stats!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze,
19!19!19!19!19!19!19!19!19!19!19!19,1!2!3!4!5!6!7!8!9!10!11!12,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Enable!Enable All!Disable!Disable All!Reset!Update Stats!Exercise!Update Scan!Status Scan!Analog Scan!Accum Scan!Accum Freeze,
20!20,1!2,NULL!NULL,Trip!Close,
21!21,1!2,NULL!NULL,Trip!Close,
22!22,1!2,NULL!NULL,Trip!Close,
23!23,1!2,NULL!NULL,Open!Close,
24!24,1!2,NULL!NULL,Raise!Lower,
25!25,1!2,NULL!NULL,Raise!Lower,
26!26,1!2,NULL!NULL,Raise!Lower,
27!27,1!2,NULL!NULL,Raise!Lower,
28!28,1!2,NULL!NULL,Raise!Lower,
29!29,1!2,NULL!NULL,Raise!Lower,
30!30!30!30!30!30,1!2!3!4!5!6,NULL!NULL!NULL!NULL!NULL!NULL,Online!Failed!Shutdown!Over!Under!Not Config,
31!31,1!2,NULL!NULL,Off!On,
32!32,1!2,NULL!NULL,Tag Removed!Tag Placed,
33!33!33!33,1!2!3!4,NULL!NULL!NULL!NULL,Normal!Alarm!Abnormal!Abnl & Alrm,
34!34!34!34,1!2!3!4,NULL!NULL!NULL!NULL,Normal!Alarm!Limit Viol!LimV & Alrm,
35!35!35!35!35!35!35,1!2!3!4!5!6!7,NULL!NULL!NULL!NULL!NULL!NULL!NULL,Spare!Open!Closed!Travel!Open & Alrm!Close & Alrm!Travl & Alrm,
