AssetID,GroupName,Description,SerialNumber,Device_RDF_ID,CRAS_UAP_NodeType,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Attachment,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,Component_RDF_ID,ControllerSide,ControlAttributeName,OverrideTabNumber,OverrideTabRow,OverrideTabColumn,AssociationDirection,ComponentTypeName,VendorCompTypeName,StringValue,SubDeviceAssetID,DeviceCompTypeName,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName,DCT_Point,ParentDevice,ChildDeviceModelType,DeviceName,StructureName,LanAddress,WanAddress,OmsStructureNumber,OmsLineDeviceNumber,DcwId,DeviceAttribute,LatLong,ScanFrequency,HealthCheckFrequency,HealthCheckRetry,TimeToLive,Luck,Mood,Priority,ReturnReceipt,MaxSendAttempts,LoadDropDevice,PrimaryMcc,SecondaryMcc,TertiaryMcc,TestPointNumber
DMS.MACARTHUR 12_1200003,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,223942,NULL,NULL,NULL,MACARTHUR,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.MACARTHUR 12_1200706,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,223964,NULL,NULL,NULL,MACARTHUR,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.MACARTHUR 12_1200999,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,223968,NULL,NULL,NULL,MACARTHUR,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.MACARTHUR 12_1200997,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,223972,NULL,NULL,NULL,MACARTHUR,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.MACARTHUR 12_1200013,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,223953,NULL,NULL,NULL,MACARTHUR,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536003,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,112890,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536013,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,124853,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536015,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,112902,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536999,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,112912,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536997,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,112916,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536999,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,1135,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536998,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,1148,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.SANTIAGO 12_1536999,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,1147,NULL,NULL,NULL,SANTIAGO SAS,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.CROWN 12_1537019,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,130870,NULL,NULL,NULL,CROWN,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DMS.CROWN 12_1537999,EMS,NULL,NULL,NULL,NULL,BUS,400,VOLT,ABC,LOW_SIDE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VOLT,NULL,NULL,NULL,NULL,NULL,111383,NULL,NULL,NULL,CROWN,Z_EMS,Z_EMS,NULL,NULL,Z_EMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
