PointNumber,PointName,LogicalDisplayReference,PropagateInitialValue,SetNonUpdate,ManualOverride,ManualEntry,Events,AnalogDemandScan,StateCalculator,AssetID,PICollection,PIValueTag,PIQualityStorage,PIQualityTag,ToggleReleaseThreshold,ToggleInhibitThreshold,eDNACollection,eDNAExtIdentifier,eDNAQualityStorage,eDNASecurityGroup,PI_Digital_Set_Number,DOMDeviceType,ProficyCollection,ProficyTagName,ProficyQualityStorage,TransientStateDelay,COBECollection,URLtype,URLDescription,URL,InitialValue,LogRoutAssnRefName,StationName,GroupName,MapboardFunctionGroup,StateFeatGroupAssnStateNumber,AbnormalSetting,TriggerRefName,DataDivisionRefName,AORRefName,MenuRefNumber,AltDataSourcePriority,AltDataSourceIdentifier,UtilizationIdentifier,AltDataSourceInitiation,AltDataSourceRestoration,ControlProgramRefName,ControlStateGroupSet,PointPosition,StartControlState,LayoutType,LayoutNumber,StateControlAssnStateNumber,JogPoint,Command,PulseDuration,OperateTime,DesiredEndState,Priority,RetryLimit,AllowedControlState,CntlValidationProgRefName,ValidationVersionNum,IndicationStateGroupSet,IndicationPointPosition,IndicationBitPosition,IndicationLayoutType,IndicationLayoutNumber,ScanBlockRefName,SetEntryNumber,AssocDevicePointNumber,AnalogPointNumber,WarningRequired,WarningAckRequired,WarningMessage,CollectToHistoricalSchedRef,ActionDescriptionSetRef,CircuitLabelName,SubstationName,DeviceTypeName,LongName,AltLongName,Input_Group_Name,DOG_Reference,AlarmProfileReference,OPCTagName,EPDC_Signal_Reference
1301,DMS TLM Monitoring Point,NULL,No,Yes,No,Yes,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Normal,All,SYSTEM,NULL,NULL,1!2,No!Yes,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_1,NULL,NULL
1442,DMS Exception Point,NULL,No,Yes,No,Yes,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Closed,All,SYSTEM,NULL,NULL,1!2,No!Yes,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,status_ap_1!status_ap_1!status_ap_1,NULL,NULL
1443,Web Services Interface Status Indicator,NULL,No,Yes,No,No,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,All,SYSTEM,NULL,NULL,1!2!3,No!Yes!Yes,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_2,NULL,NULL
1444,Web Services Monitor Status Indicator,NULL,No,Yes,No,No,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,All,SYSTEM,NULL,NULL,1!2!3,No!Yes!Yes,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_2,NULL,NULL
1449,Auto Commit Activation,NULL,No,Yes,Yes,Yes,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,All,SYSTEM,NULL,NULL,1!2,No!Yes,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,1!2,No!No,0!1,NULL!NULL,NULL!NULL,NULL!NULL,70!70,1!1,NULL!NULL,NULL!NULL,NULL!NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_11,NULL,NULL
1476,Tag Upd XFER Publisher Enable,NULL,No,Yes,No,No,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online,All,SYSTEM,NULL,NULL,1!2!3!4!5!6!7!8!9!10!11!12,No!Yes!No!No!No!No!No!No!Yes!No!No!No,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,XSXMC,61,NULL,NULL,NULL,NULL,1!2,No!No,0!2,NULL!NULL,5!5,NULL!NULL,70!70,1!1,NULL!NULL,NULL!NULL,NULL!NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_1,NULL,NULL
1477,Tag Upd XFER Receiver Enable,NULL,No,Yes,No,No,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online,All,SYSTEM,NULL,NULL,1!2!3!4!5!6!7!8!9!10!11!12,No!Yes!No!No!No!No!No!No!Yes!No!No!No,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,XSXMC,61,NULL,NULL,NULL,NULL,1!2,No!No,0!2,NULL!NULL,5!5,NULL!NULL,70!70,1!1,NULL!NULL,NULL!NULL,NULL!NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_1,NULL,NULL
1478,Pnt Upd XFER Publisher Enable,NULL,No,Yes,No,No,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online,All,SYSTEM,NULL,NULL,1!2!3!4!5!6!7!8!9!10!11!12,No!Yes!No!No!No!No!No!No!Yes!No!No!No,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,XSXMC,61,NULL,NULL,NULL,NULL,1!2,No!No,0!2,NULL!NULL,5!5,NULL!NULL,70!70,1!1,NULL!NULL,NULL!NULL,NULL!NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_1,NULL,NULL
1479,Pnt Upd XFER Receiver Enable,NULL,No,Yes,No,No,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Online,All,SYSTEM,NULL,NULL,1!2!3!4!5!6!7!8!9!10!11!12,No!Yes!No!No!No!No!No!No!Yes!No!No!No,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,XSXMC,61,NULL,NULL,NULL,NULL,1!2,No!No,0!2,NULL!NULL,5!5,NULL!NULL,70!70,1!1,NULL!NULL,NULL!NULL,NULL!NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_1,NULL,NULL
1560,Calc Status 6,NULL,No,Yes,No,Yes,No,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ResetSCI,All,Sta001,NULL,NULL,1!2!3!4!5!6!7!8!9!10!11!12!13!14!15!16,No!No!No!No!No!No!No!No!No!No!No!No!No!No!No!No,NULL,Calc,ALL-DEVERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,status_ap_9,NULL,NULL
